date,generation_type,megawatt_hours
2008-01,combustible fuels,742817.0
2008-01,hydraulic turbine,6123235.0
2008-02,combustible fuels,616619.0
2008-02,hydraulic turbine,5348686.0
2008-03,combustible fuels,596200.0
2008-03,hydraulic turbine,4993921.0
2008-04,combustible fuels,617346.0
2008-04,hydraulic turbine,4483185.0
2008-05,combustible fuels,527625.0
2008-05,hydraulic turbine,4158428.0
2008-06,combustible fuels,380211.0
2008-06,hydraulic turbine,3931594.0
2008-07,combustible fuels,578440.0
2008-07,hydraulic turbine,5006423.0
2008-08,combustible fuels,589754.0
2008-08,hydraulic turbine,4943221.0
2008-09,combustible fuels,580090.0
2008-09,hydraulic turbine,4203684.0
2008-10,combustible fuels,629618.0
2008-10,hydraulic turbine,4745647.0
2008-11,combustible fuels,582069.0
2008-11,hydraulic turbine,4752093.0
2008-12,combustible fuels,639378.0
2008-12,hydraulic turbine,6083568.0
2009-01,combustible fuels,632098.0
2009-01,hydraulic turbine,5620226.0
2009-02,combustible fuels,547326.0
2009-02,hydraulic turbine,4881712.0
2009-03,combustible fuels,557961.0
2009-03,hydraulic turbine,4797734.0
2009-04,combustible fuels,547967.0
2009-04,hydraulic turbine,4068771.0
2009-05,combustible fuels,417509.0
2009-05,hydraulic turbine,4384511.0
2009-06,combustible fuels,300795.0
2009-06,hydraulic turbine,3865962.0
2009-07,combustible fuels,507137.0
2009-07,hydraulic turbine,4420719.0
2009-08,combustible fuels,542138.0
2009-08,hydraulic turbine,4308835.0
2009-09,combustible fuels,529030.0
2009-09,hydraulic turbine,3871741.0
2009-10,combustible fuels,450604.0
2009-10,hydraulic turbine,4375801.0
2009-11,combustible fuels,618512.0
2009-11,hydraulic turbine,4849449.0
2009-12,combustible fuels,678469.0
2009-12,hydraulic turbine,6426458.0
2010-01,combustible fuels,645449.0
2010-01,hydraulic turbine,5992976.0
2010-02,combustible fuels,566120.0
2010-02,hydraulic turbine,5153905.0
2010-03,combustible fuels,575926.0
2010-03,hydraulic turbine,4529791.0
2010-04,combustible fuels,594904.0
2010-04,hydraulic turbine,3999402.0
2010-05,combustible fuels,473353.0
2010-05,hydraulic turbine,3731960.0
2010-06,combustible fuels,384669.0
2010-06,hydraulic turbine,3962309.0
2010-07,combustible fuels,514506.0
2010-07,hydraulic turbine,3825123.0
2010-08,combustible fuels,591848.0
2010-08,hydraulic turbine,3568868.0
2010-09,combustible fuels,570008.0
2010-09,hydraulic turbine,3085094.0
2010-10,combustible fuels,663384.0
2010-10,hydraulic turbine,3702980.0
2010-11,combustible fuels,586706.0
2010-11,hydraulic turbine,5059655.0
2010-12,combustible fuels,548015.0
2010-12,hydraulic turbine,6150204.0
2011-01,combustible fuels,544753.0
2011-01,hydraulic turbine,5471879.0
2011-02,combustible fuels,437712.0
2011-02,hydraulic turbine,5045242.0
2011-03,combustible fuels,473478.0
2011-03,hydraulic turbine,5226356.0
2011-04,combustible fuels,518091.0
2011-04,hydraulic turbine,4441394.0
2011-05,combustible fuels,415271.0
2011-05,hydraulic turbine,4414419.0
2011-06,combustible fuels,319329.0
2011-06,hydraulic turbine,3892192.0
2011-07,combustible fuels,392377.0
2011-07,hydraulic turbine,4729566.0
2011-08,combustible fuels,381168.0
2011-08,hydraulic turbine,5540774.0
2011-09,combustible fuels,370300.0
2011-09,hydraulic turbine,5015166.0
2011-10,combustible fuels,445225.0
2011-10,hydraulic turbine,5122314.0
2011-11,combustible fuels,458880.0
2011-11,hydraulic turbine,5732541.0
2011-12,combustible fuels,483146.0
2011-12,hydraulic turbine,6333853.0
2012-01,combustible fuels,511908.0
2012-01,hydraulic turbine,6291255.0
2012-02,combustible fuels,487166.0
2012-02,hydraulic turbine,5557023.0
2012-03,combustible fuels,569846.0
2012-03,hydraulic turbine,5209949.0
2012-04,combustible fuels,501359.0
2012-04,hydraulic turbine,4740048.0
2012-05,combustible fuels,406181.0
2012-05,hydraulic turbine,5213327.0
2012-06,combustible fuels,381511.0
2012-06,hydraulic turbine,4807677.0
2012-07,combustible fuels,372402.0
2012-07,hydraulic turbine,5691315.0
2012-08,combustible fuels,411208.0
2012-08,hydraulic turbine,5706118.0
2012-09,combustible fuels,402351.0
2012-09,hydraulic turbine,4781854.0
2012-10,combustible fuels,494822.0
2012-10,hydraulic turbine,5029384.0
2012-11,combustible fuels,508696.0
2012-11,hydraulic turbine,5410708.0
2012-12,combustible fuels,519318.0
2012-12,hydraulic turbine,5777908.0
2013-01,combustible fuels,532010.0
2013-01,hydraulic turbine,6447107.0
2013-02,combustible fuels,468969.0
2013-02,hydraulic turbine,5306081.0
