date,generation_type,megawatt_hours
2008-01,combustible fuels,13281859.0
2008-01,hydraulic turbine,36647695.0
2008-01,nuclear steam turbine,8963878.0
2008-01,other types of electricity generation,0.0
2008-01,solar,0.0
2008-01,tidal power turbine,2417.0
2008-01,wind power turbine,186652.0
2008-02,combustible fuels,12579629.0
2008-02,hydraulic turbine,35553845.0
2008-02,nuclear steam turbine,7615360.0
2008-02,other types of electricity generation,0.0
2008-02,solar,0.0
2008-02,tidal power turbine,1915.0
2008-02,wind power turbine,134675.0
2008-03,combustible fuels,12867652.0
2008-03,hydraulic turbine,34786029.0
2008-03,nuclear steam turbine,7260833.0
2008-03,other types of electricity generation,0.0
2008-03,solar,0.0
2008-03,tidal power turbine,2473.0
2008-03,wind power turbine,151852.0
2008-04,combustible fuels,11077050.0
2008-04,hydraulic turbine,30858656.0
2008-04,nuclear steam turbine,6172735.0
2008-04,other types of electricity generation,0.0
2008-04,solar,0.0
2008-04,tidal power turbine,2447.0
2008-04,wind power turbine,137743.0
2008-05,combustible fuels,10157638.0
2008-05,hydraulic turbine,29209400.0
2008-05,nuclear steam turbine,5999932.0
2008-05,other types of electricity generation,0.0
2008-05,solar,0.0
2008-05,tidal power turbine,2400.0
2008-05,wind power turbine,126245.0
2008-06,combustible fuels,10412849.0
2008-06,hydraulic turbine,27809714.0
2008-06,nuclear steam turbine,6642693.0
2008-06,other types of electricity generation,0.0
2008-06,solar,0.0
2008-06,tidal power turbine,1249.0
2008-06,wind power turbine,100456.0
2008-07,combustible fuels,11512337.0
2008-07,hydraulic turbine,29970356.0
2008-07,nuclear steam turbine,7851791.0
2008-07,other types of electricity generation,0.0
2008-07,solar,0.0
2008-07,tidal power turbine,-115.0
2008-07,wind power turbine,90579.0
2008-08,combustible fuels,11513195.0
2008-08,hydraulic turbine,28602613.0
2008-08,nuclear steam turbine,7849761.0
2008-08,other types of electricity generation,0.0
2008-08,solar,0.0
2008-08,tidal power turbine,-71.0
2008-08,wind power turbine,101221.0
2008-09,combustible fuels,10486634.0
2008-09,hydraulic turbine,25681856.0
2008-09,nuclear steam turbine,7401882.0
2008-09,other types of electricity generation,0.0
2008-09,solar,0.0
2008-09,tidal power turbine,-65.0
2008-09,wind power turbine,114244.0
2008-10,combustible fuels,10855669.0
2008-10,hydraulic turbine,28015482.0
2008-10,nuclear steam turbine,7509668.0
2008-10,other types of electricity generation,0.0
2008-10,solar,0.0
2008-10,tidal power turbine,-60.0
2008-10,wind power turbine,190203.0
2008-11,combustible fuels,11205249.0
2008-11,hydraulic turbine,29749979.0
2008-11,nuclear steam turbine,7087442.0
2008-11,other types of electricity generation,0.0
2008-11,solar,0.0
2008-11,tidal power turbine,389.0
2008-11,wind power turbine,167754.0
2008-12,combustible fuels,12344580.0
2008-12,hydraulic turbine,35759449.0
2008-12,nuclear steam turbine,8276834.0
2008-12,other types of electricity generation,0.0
2008-12,solar,0.0
2008-12,tidal power turbine,2039.0
2008-12,wind power turbine,185822.0
2009-01,combustible fuels,13758333.0
2009-01,hydraulic turbine,37344969.0
2009-01,nuclear steam turbine,8248888.0
2009-01,other types of electricity generation,0.0
2009-01,solar,0.0
2009-01,tidal power turbine,2220.0
2009-01,wind power turbine,184931.0
2009-02,combustible fuels,11372999.0
2009-02,hydraulic turbine,32552582.0
2009-02,nuclear steam turbine,7163734.0
2009-02,other types of electricity generation,0.0
2009-02,solar,0.0
2009-02,tidal power turbine,2186.0
