date,generation_type,megawatt_hours
2008-01,combustible fuels,59509.0
2008-01,hydraulic turbine,3056778.0
2008-01,wind power turbine,0.0
2008-02,combustible fuels,78958.0
2008-02,hydraulic turbine,2825049.0
2008-02,wind power turbine,0.0
2008-03,combustible fuels,74363.0
2008-03,hydraulic turbine,2766455.0
2008-03,wind power turbine,0.0
2008-04,combustible fuels,53606.0
2008-04,hydraulic turbine,2683886.0
2008-04,wind power turbine,0.0
2008-05,combustible fuels,8300.0
2008-05,hydraulic turbine,2665053.0
2008-05,wind power turbine,0.0
2008-06,combustible fuels,12937.0
2008-06,hydraulic turbine,2524080.0
2008-06,wind power turbine,0.0
2008-07,combustible fuels,37107.0
2008-07,hydraulic turbine,3053025.0
2008-07,wind power turbine,0.0
2008-08,combustible fuels,62926.0
2008-08,hydraulic turbine,3144997.0
2008-08,wind power turbine,0.0
2008-09,combustible fuels,10398.0
2008-09,hydraulic turbine,2970476.0
2008-09,wind power turbine,0.0
2008-10,combustible fuels,32024.0
2008-10,hydraulic turbine,3016747.0
2008-10,wind power turbine,0.0
2008-11,combustible fuels,59745.0
2008-11,hydraulic turbine,3008546.0
2008-11,wind power turbine,0.0
2008-12,combustible fuels,66039.0
2008-12,hydraulic turbine,2873415.0
2008-12,wind power turbine,0.0
2009-01,combustible fuels,63914.0
2009-01,hydraulic turbine,2876937.0
2009-01,wind power turbine,0.0
2009-02,combustible fuels,10723.0
2009-02,hydraulic turbine,2591087.0
2009-02,wind power turbine,0.0
2009-03,combustible fuels,16472.0
2009-03,hydraulic turbine,2683199.0
2009-03,wind power turbine,0.0
2009-04,combustible fuels,26798.0
2009-04,hydraulic turbine,2561928.0
2009-04,wind power turbine,0.0
2009-05,combustible fuels,1544.0
2009-05,hydraulic turbine,2718662.0
2009-05,wind power turbine,0.0
2009-06,combustible fuels,7818.0
2009-06,hydraulic turbine,2668510.0
2009-06,wind power turbine,0.0
2009-07,combustible fuels,12651.0
2009-07,hydraulic turbine,2942788.0
2009-07,wind power turbine,0.0
2009-08,combustible fuels,15183.0
2009-08,hydraulic turbine,2926148.0
2009-08,wind power turbine,0.0
2009-09,combustible fuels,13316.0
2009-09,hydraulic turbine,2743997.0
2009-09,wind power turbine,0.0
2009-10,combustible fuels,16866.0
2009-10,hydraulic turbine,3154551.0
2009-10,wind power turbine,0.0
2009-11,combustible fuels,42034.0
2009-11,hydraulic turbine,2853486.0
2009-11,wind power turbine,0.0
2009-12,combustible fuels,44381.0
2009-12,hydraulic turbine,2827776.0
2009-12,wind power turbine,0.0
2010-01,combustible fuels,19974.0
2010-01,hydraulic turbine,2926355.0
2010-01,wind power turbine,0.0
2010-02,combustible fuels,15576.0
2010-02,hydraulic turbine,2610399.0
2010-02,wind power turbine,0.0
2010-03,combustible fuels,22491.0
2010-03,hydraulic turbine,2780269.0
2010-03,wind power turbine,0.0
2010-04,combustible fuels,17022.0
2010-04,hydraulic turbine,2490836.0
2010-04,wind power turbine,0.0
2010-05,combustible fuels,13893.0
2010-05,hydraulic turbine,1993139.0
2010-05,wind power turbine,0.0
2010-06,combustible fuels,12222.0
2010-06,hydraulic turbine,2491986.0
2010-06,wind power turbine,0.0
2010-07,combustible fuels,12641.0
2010-07,hydraulic turbine,2970661.0
2010-07,wind power turbine,0.0
2010-08,combustible fuels,13863.0
2010-08,hydraulic turbine,3042540.0
2010-08,wind power turbine,0.0
2010-09,combustible fuels,7361.0
2010-09,hydraulic turbine,2810361.0
2010-09,wind power turbine,0.0
2010-10,combustible fuels,13441.0
2010-10,hydraulic turbine,3018866.0
2010-10,wind power turbine,0.0
2010-11,combustible fuels,11960.0
2010-11,hydraulic turbine,3020362.0
2010-11,wind power turbine,0.0
2010-12,combustible fuels,13269.0
2010-12,hydraulic turbine,3113347.0
2010-12,wind power turbine,0.0
2011-01,combustible fuels,30850.0
2011-01,hydraulic turbine,3068607.0
2011-01,wind power turbine,28080.0
2011-02,combustible fuels,11844.0
2011-02,hydraulic turbine,2791222.0
2011-02,wind power turbine,40119.0
2011-03,combustible fuels,9082.0
2011-03,hydraulic turbine,3120798.0
2011-03,wind power turbine,24597.0
2011-04,combustible fuels,13013.0
2011-04,hydraulic turbine,2773010.0
2011-04,wind power turbine,25952.0
2011-05,combustible fuels,9652.0
2011-05,hydraulic turbine,2832244.0
2011-05,wind power turbine,37465.0
2011-06,combustible fuels,11330.0
2011-06,hydraulic turbine,2680764.0
2011-06,wind power turbine,27087.0
2011-07,combustible fuels,9201.0
2011-07,hydraulic turbine,3186063.0
2011-07,wind power turbine,23909.0
2011-08,combustible fuels,12047.0
2011-08,hydraulic turbine,3037567.0
2011-08,wind power turbine,23670.0
2011-09,combustible fuels,11834.0
2011-09,hydraulic turbine,2530396.0
2011-09,wind power turbine,33215.0
2011-10,combustible fuels,17834.0
2011-10,hydraulic turbine,2688750.0
2011-10,wind power turbine,37388.0
2011-11,combustible fuels,16845.0
2011-11,hydraulic turbine,2725614.0
2011-11,wind power turbine,41888.0
2011-12,combustible fuels,10106.0
2011-12,hydraulic turbine,2771254.0
2011-12,wind power turbine,40445.0
2012-01,combustible fuels,9562.0
2012-01,hydraulic turbine,2892160.0
2012-01,wind power turbine,37424.0
2012-02,combustible fuels,12939.0
2012-02,hydraulic turbine,2489825.0
2012-02,wind power turbine,30082.0
2012-03,combustible fuels,11603.0
2012-03,hydraulic turbine,2450369.0
2012-03,wind power turbine,45621.0
2012-04,combustible fuels,4217.0
2012-04,hydraulic turbine,2216919.0
2012-04,wind power turbine,39446.0
2012-05,combustible fuels,1015.0
2012-05,hydraulic turbine,2458753.0
2012-05,wind power turbine,33526.0
2012-06,combustible fuels,1878.0
2012-06,hydraulic turbine,2559091.0
2012-06,wind power turbine,28788.0
2012-07,combustible fuels,1454.0
2012-07,hydraulic turbine,3178471.0
2012-07,wind power turbine,21724.0
2012-08,combustible fuels,4067.0
2012-08,hydraulic turbine,3124162.0
2012-08,wind power turbine,27061.0
2012-09,combustible fuels,29085.0
2012-09,hydraulic turbine,2709612.0
2012-09,wind power turbine,34669.0
2012-10,combustible fuels,28135.0
2012-10,hydraulic turbine,2474216.0
2012-10,wind power turbine,43769.0
2012-11,combustible fuels,16057.0
2012-11,hydraulic turbine,2716962.0
2012-11,wind power turbine,36948.0
2012-12,combustible fuels,4795.0
2012-12,hydraulic turbine,2847197.0
2012-12,wind power turbine,25880.0
2013-01,combustible fuels,11280.0
2013-01,hydraulic turbine,2974278.0
2013-01,wind power turbine,43467.0
2013-02,combustible fuels,6245.0
2013-02,hydraulic turbine,2685258.0
2013-02,wind power turbine,30746.0
2013-03,combustible fuels,5020.0
2013-03,hydraulic turbine,3032576.0
2013-03,wind power turbine,30004.0
2013-04,combustible fuels,10223.0
2013-04,hydraulic turbine,2675250.0
2013-04,wind power turbine,36872.0
2013-05,combustible fuels,19331.0
2013-05,hydraulic turbine,2894644.0
2013-05,wind power turbine,40130.0
2013-06,combustible fuels,5951.0
2013-06,hydraulic turbine,2942601.0
2013-06,wind power turbine,28657.0
2013-07,combustible fuels,13152.0
2013-07,hydraulic turbine,3208730.0
2013-07,wind power turbine,21933.0
2013-08,combustible fuels,12643.0
2013-08,hydraulic turbine,3264874.0
2013-08,wind power turbine,17801.0
2013-09,combustible fuels,6339.0
2013-09,hydraulic turbine,2698998.0
2013-09,wind power turbine,31841.0
2013-10,combustible fuels,24131.0
2013-10,hydraulic turbine,3080200.0
2013-10,wind power turbine,33508.0
2013-11,combustible fuels,6840.0
2013-11,hydraulic turbine,2837172.0
2013-11,wind power turbine,43522.0
2013-12,combustible fuels,12629.0
2013-12,hydraulic turbine,3042582.0
2013-12,wind power turbine,39443.0
2014-01,combustible fuels,23985.0
2014-01,hydraulic turbine,2934673.0
2014-01,wind power turbine,45659.0
2014-02,combustible fuels,17017.0
2014-02,hydraulic turbine,2634872.0
2014-02,wind power turbine,46933.0
2014-03,combustible fuels,17626.0
2014-03,hydraulic turbine,2941361.0
2014-03,wind power turbine,40348.0
2014-04,combustible fuels,9728.0
2014-04,hydraulic turbine,2758975.0
2014-04,wind power turbine,39119.0
2014-05,combustible fuels,7383.0
2014-05,hydraulic turbine,2706378.0
2014-05,wind power turbine,35108.0
2014-06,combustible fuels,6899.0
2014-06,hydraulic turbine,2947976.0
2014-06,wind power turbine,31819.0
2014-07,combustible fuels,13582.0
2014-07,hydraulic turbine,3175872.0
2014-07,wind power turbine,27724.0
2014-08,combustible fuels,10389.0
2014-08,hydraulic turbine,3201899.0
2014-08,wind power turbine,20367.0
2014-09,combustible fuels,6659.0
2014-09,hydraulic turbine,2725046.0
2014-09,wind power turbine,34499.0
2014-10,combustible fuels,8712.0
2014-10,hydraulic turbine,2259710.0
2014-10,wind power turbine,47626.0
2014-11,combustible fuels,12341.0
2014-11,hydraulic turbine,2939757.0
2014-11,wind power turbine,46252.0
2014-12,combustible fuels,14332.0
2014-12,hydraulic turbine,3166168.0
2014-12,wind power turbine,25982.0
2015-01,combustible fuels,18904.0
2015-01,hydraulic turbine,3218541.0
2015-01,wind power turbine,41164.0
2015-02,combustible fuels,20269.0
2015-02,hydraulic turbine,3218541.0
2015-02,wind power turbine,37496.0
2015-03,combustible fuels,13657.0
2015-03,hydraulic turbine,2977728.0
2015-03,wind power turbine,42224.0
2015-04,combustible fuels,9066.0
2015-04,hydraulic turbine,2812191.0
2015-04,wind power turbine,39239.0
2015-05,combustible fuels,6253.0
2015-05,hydraulic turbine,2920935.0
2015-05,wind power turbine,32650.0
2015-06,combustible fuels,6207.0
2015-06,hydraulic turbine,2793198.0
2015-06,wind power turbine,21874.0
2015-07,combustible fuels,8219.0
2015-07,hydraulic turbine,2928314.0
2015-07,wind power turbine,26282.0
2015-08,combustible fuels,12338.0
2015-08,hydraulic turbine,2987612.0
2015-08,wind power turbine,23652.0
2015-09,combustible fuels,9605.0
2015-09,hydraulic turbine,2723078.0
2015-09,wind power turbine,34931.0
2015-10,combustible fuels,9526.0
2015-10,hydraulic turbine,2754180.0
2015-10,wind power turbine,44575.0
2015-11,combustible fuels,35396.0
2015-11,hydraulic turbine,2792180.0
2015-11,wind power turbine,35278.0
2015-12,combustible fuels,8799.0
2015-12,hydraulic turbine,3070568.0
2015-12,wind power turbine,26279.0
2016-01,combustible fuels,14693.0
