date,generation_type,megawatt_hours
2008-01,combustible fuels,1017195.0
2008-01,hydraulic turbine,285671.0
2008-01,nuclear steam turbine,407950.0
2008-01,wind power turbine,0.0
2008-02,combustible fuels,897041.0
2008-02,hydraulic turbine,200507.0
2008-02,nuclear steam turbine,379945.0
2008-02,wind power turbine,0.0
2008-03,combustible fuels,883082.0
2008-03,hydraulic turbine,174241.0
2008-03,nuclear steam turbine,363409.0
2008-03,wind power turbine,0.0
2008-04,combustible fuels,710424.0
2008-04,hydraulic turbine,420699.0
2008-04,nuclear steam turbine,0.0
2008-04,wind power turbine,0.0
2008-05,combustible fuels,427707.0
2008-05,hydraulic turbine,456709.0
2008-05,nuclear steam turbine,-4493.0
2008-05,wind power turbine,0.0
2008-06,combustible fuels,660029.0
2008-06,hydraulic turbine,223654.0
2008-06,nuclear steam turbine,0.0
2008-06,wind power turbine,0.0
2008-07,combustible fuels,760903.0
2008-07,hydraulic turbine,267831.0
2008-07,nuclear steam turbine,-3952.0
2008-07,wind power turbine,0.0
2008-08,combustible fuels,808317.0
2008-08,hydraulic turbine,328225.0
2008-08,nuclear steam turbine,-4517.0
2008-08,wind power turbine,0.0
2008-09,combustible fuels,667706.0
2008-09,hydraulic turbine,129983.0
2008-09,nuclear steam turbine,-3353.0
2008-09,wind power turbine,0.0
2008-10,combustible fuels,739369.0
2008-10,hydraulic turbine,287734.0
2008-10,nuclear steam turbine,-3360.0
2008-10,wind power turbine,0.0
2008-11,combustible fuels,826421.0
2008-11,hydraulic turbine,413772.0
2008-11,nuclear steam turbine,-3071.0
2008-11,wind power turbine,0.0
2008-12,combustible fuels,1143976.0
2008-12,hydraulic turbine,300066.0
2008-12,nuclear steam turbine,-3638.0
2008-12,wind power turbine,0.0
2009-01,combustible fuels,1379837.0
2009-01,hydraulic turbine,187217.0
2009-01,nuclear steam turbine,-3673.0
2009-01,wind power turbine,0.0
2009-02,combustible fuels,982270.0
2009-02,hydraulic turbine,121047.0
2009-02,nuclear steam turbine,-3547.0
2009-02,wind power turbine,0.0
2009-03,combustible fuels,1020124.0
2009-03,hydraulic turbine,199168.0
2009-03,nuclear steam turbine,-3628.0
2009-03,wind power turbine,0.0
2009-04,combustible fuels,728662.0
2009-04,hydraulic turbine,558396.0
2009-04,nuclear steam turbine,-3256.0
2009-04,wind power turbine,0.0
2009-05,combustible fuels,629825.0
2009-05,hydraulic turbine,449761.0
2009-05,nuclear steam turbine,-3751.0
2009-05,wind power turbine,0.0
2009-06,combustible fuels,600091.0
2009-06,hydraulic turbine,273277.0
2009-06,nuclear steam turbine,-3540.0
2009-06,wind power turbine,0.0
2009-07,combustible fuels,719198.0
2009-07,hydraulic turbine,294512.0
2009-07,nuclear steam turbine,-3141.0
2009-07,wind power turbine,0.0
2009-08,combustible fuels,675814.0
2009-08,hydraulic turbine,245591.0
2009-08,nuclear steam turbine,-3323.0
2009-08,wind power turbine,0.0
2009-09,combustible fuels,691570.0
2009-09,hydraulic turbine,67771.0
2009-09,nuclear steam turbine,-3787.0
2009-09,wind power turbine,0.0
2009-10,combustible fuels,767728.0
2009-10,hydraulic turbine,251247.0
2009-10,nuclear steam turbine,-3959.0
2009-10,wind power turbine,0.0
2009-11,combustible fuels,794700.0
2009-11,hydraulic turbine,293270.0
2009-11,nuclear steam turbine,-3790.0
2009-11,wind power turbine,0.0
2009-12,combustible fuels,854272.0
2009-12,hydraulic turbine,309287.0
2009-12,nuclear steam turbine,-4336.0
2009-12,wind power turbine,0.0
2010-01,combustible fuels,863140.0
2010-01,hydraulic turbine,185189.0
2010-01,nuclear steam turbine,-4605.0
2010-01,wind power turbine,0.0
2010-02,combustible fuels,808537.0
2010-02,hydraulic turbine,173388.0
2010-02,nuclear steam turbine,-4123.0
2010-02,wind power turbine,0.0
2010-03,combustible fuels,754959.0
2010-03,hydraulic turbine,271493.0
2010-03,nuclear steam turbine,-4211.0
2010-03,wind power turbine,0.0
2010-04,combustible fuels,622580.0
2010-04,hydraulic turbine,539135.0
2010-04,nuclear steam turbine,-3956.0
2010-04,wind power turbine,31712.0
2010-05,combustible fuels,488999.0
2010-05,hydraulic turbine,294605.0
2010-05,nuclear steam turbine,-3907.0
2010-05,wind power turbine,36097.0
2010-06,combustible fuels,434045.0
2010-06,hydraulic turbine,192507.0
2010-06,nuclear steam turbine,-3706.0
2010-06,wind power turbine,29093.0
2010-07,combustible fuels,563630.0
2010-07,hydraulic turbine,210047.0
2010-07,nuclear steam turbine,-3684.0
2010-07,wind power turbine,32540.0
2010-08,combustible fuels,597838.0
2010-08,hydraulic turbine,86604.0
2010-08,nuclear steam turbine,-3714.0
2010-08,wind power turbine,21439.0
2010-09,combustible fuels,562472.0
2010-09,hydraulic turbine,112820.0
2010-09,nuclear steam turbine,-2734.0
2010-09,wind power turbine,35754.0
2010-10,combustible fuels,554899.0
2010-10,hydraulic turbine,362350.0
2010-10,nuclear steam turbine,-3607.0
2010-10,wind power turbine,57761.0
2010-11,combustible fuels,589971.0
2010-11,hydraulic turbine,406987.0
2010-11,nuclear steam turbine,-2915.0
2010-11,wind power turbine,43864.0
2010-12,combustible fuels,662845.0
2010-12,hydraulic turbine,461335.0
2010-12,nuclear steam turbine,-3745.0
2010-12,wind power turbine,29685.0
2011-01,combustible fuels,809214.0
2011-01,hydraulic turbine,208627.0
2011-01,nuclear steam turbine,-4285.0
2011-01,wind power turbine,20975.0
2011-02,combustible fuels,712432.0
2011-02,hydraulic turbine,118892.0
2011-02,nuclear steam turbine,-4032.0
2011-02,wind power turbine,30506.0
2011-03,combustible fuels,643103.0
2011-03,hydraulic turbine,325700.0
2011-03,nuclear steam turbine,-4149.0
2011-03,wind power turbine,65224.0
2011-04,combustible fuels,529660.0
2011-04,hydraulic turbine,499177.0
2011-04,nuclear steam turbine,-4039.0
2011-04,wind power turbine,63540.0
2011-05,combustible fuels,447796.0
2011-05,hydraulic turbine,558014.0
2011-05,nuclear steam turbine,-4075.0
2011-05,wind power turbine,57745.0
2011-06,combustible fuels,442978.0
2011-06,hydraulic turbine,413313.0
2011-06,nuclear steam turbine,-3516.0
2011-06,wind power turbine,30790.0
2011-07,combustible fuels,550940.0
