date,generation_type,megawatt_hours
2008-01,combustible fuels,236163.0
2008-01,hydraulic turbine,4623932.0
2008-01,wind power turbine,0.0
2008-02,combustible fuels,212236.0
2008-02,hydraulic turbine,4353696.0
2008-02,wind power turbine,0.0
2008-03,combustible fuels,169793.0
2008-03,hydraulic turbine,4628347.0
2008-03,wind power turbine,0.0
2008-04,combustible fuels,130887.0
2008-04,hydraulic turbine,3519009.0
2008-04,wind power turbine,0.0
2008-05,combustible fuels,110663.0
2008-05,hydraulic turbine,3476935.0
2008-05,wind power turbine,0.0
2008-06,combustible fuels,41506.0
2008-06,hydraulic turbine,2626594.0
2008-06,wind power turbine,0.0
2008-07,combustible fuels,28081.0
2008-07,hydraulic turbine,2885239.0
2008-07,wind power turbine,0.0
2008-08,combustible fuels,24998.0
2008-08,hydraulic turbine,2616283.0
2008-08,wind power turbine,0.0
2008-09,combustible fuels,26811.0
2008-09,hydraulic turbine,2758929.0
2008-09,wind power turbine,0.0
2008-10,combustible fuels,89866.0
2008-10,hydraulic turbine,3205730.0
2008-10,wind power turbine,0.0
2008-11,combustible fuels,165415.0
2008-11,hydraulic turbine,3256650.0
2008-11,wind power turbine,0.0
2008-12,combustible fuels,191618.0
2008-12,hydraulic turbine,3782521.0
2008-12,wind power turbine,0.0
2009-01,combustible fuels,223580.0
2009-01,hydraulic turbine,3951143.0
2009-01,wind power turbine,0.0
2009-02,combustible fuels,186701.0
2009-02,hydraulic turbine,3519928.0
2009-02,wind power turbine,0.0
2009-03,combustible fuels,173790.0
2009-03,hydraulic turbine,3908312.0
2009-03,wind power turbine,0.0
2009-04,combustible fuels,127684.0
2009-04,hydraulic turbine,3141139.0
2009-04,wind power turbine,0.0
2009-05,combustible fuels,52582.0
2009-05,hydraulic turbine,2701445.0
2009-05,wind power turbine,0.0
2009-06,combustible fuels,35482.0
2009-06,hydraulic turbine,2063934.0
2009-06,wind power turbine,0.0
2009-07,combustible fuels,27593.0
2009-07,hydraulic turbine,2072514.0
2009-07,wind power turbine,0.0
2009-08,combustible fuels,30036.0
2009-08,hydraulic turbine,2060587.0
2009-08,wind power turbine,0.0
2009-09,combustible fuels,27535.0
2009-09,hydraulic turbine,2340683.0
2009-09,wind power turbine,0.0
