date,generation_type,megawatt_hours
2008-01,combustible fuels,41890.0
2008-01,hydraulic turbine,21577.0
2008-01,wind power turbine,0.0
2008-02,combustible fuels,43283.0
2008-02,hydraulic turbine,17656.0
2008-02,wind power turbine,0.0
2008-03,combustible fuels,40631.0
2008-03,hydraulic turbine,20979.0
2008-03,wind power turbine,0.0
2008-04,combustible fuels,37585.0
2008-04,hydraulic turbine,17995.0
2008-04,wind power turbine,0.0
2008-05,combustible fuels,35401.0
2008-05,hydraulic turbine,15962.0
2008-05,wind power turbine,0.0
2008-06,combustible fuels,32502.0
2008-06,hydraulic turbine,15009.0
2008-06,wind power turbine,0.0
2008-07,combustible fuels,35062.0
2008-07,hydraulic turbine,17702.0
2008-07,wind power turbine,0.0
2008-08,combustible fuels,35196.0
2008-08,hydraulic turbine,15380.0
2008-08,wind power turbine,0.0
2008-09,combustible fuels,38207.0
2008-09,hydraulic turbine,15036.0
2008-09,wind power turbine,0.0
2008-10,combustible fuels,38665.0
2008-10,hydraulic turbine,21362.0
2008-10,wind power turbine,0.0
2008-11,combustible fuels,39677.0
2008-11,hydraulic turbine,21663.0
2008-11,wind power turbine,0.0
2008-12,combustible fuels,38917.0
2008-12,hydraulic turbine,28270.0
2008-12,wind power turbine,0.0
2009-01,combustible fuels,40724.0
2009-01,hydraulic turbine,25848.0
2009-01,wind power turbine,0.0
2009-02,combustible fuels,34009.0
2009-02,hydraulic turbine,23543.0
2009-02,wind power turbine,0.0
2009-03,combustible fuels,39670.0
2009-03,hydraulic turbine,25225.0
2009-03,wind power turbine,0.0
2009-04,combustible fuels,37009.0
2009-04,hydraulic turbine,20437.0
2009-04,wind power turbine,0.0
2009-05,combustible fuels,35526.0
2009-05,hydraulic turbine,18737.0
2009-05,wind power turbine,0.0
2009-06,combustible fuels,32770.0
2009-06,hydraulic turbine,19813.0
2009-06,wind power turbine,0.0
2009-07,combustible fuels,30676.0
2009-07,hydraulic turbine,18975.0
2009-07,wind power turbine,0.0
2009-08,combustible fuels,30284.0
2009-08,hydraulic turbine,18542.0
2009-08,wind power turbine,0.0
2009-09,combustible fuels,34438.0
2009-09,hydraulic turbine,15565.0
2009-09,wind power turbine,0.0
2009-10,combustible fuels,44942.0
2009-10,hydraulic turbine,14487.0
2009-10,wind power turbine,0.0
2009-11,combustible fuels,38586.0
2009-11,hydraulic turbine,16902.0
2009-11,wind power turbine,0.0
2009-12,combustible fuels,42235.0
2009-12,hydraulic turbine,18470.0
2009-12,wind power turbine,0.0
2010-01,combustible fuels,41468.0
2010-01,hydraulic turbine,25551.0
2010-01,wind power turbine,0.0
2010-02,combustible fuels,36825.0
2010-02,hydraulic turbine,12175.0
2010-02,wind power turbine,0.0
2010-03,combustible fuels,37637.0
2010-03,hydraulic turbine,13587.0
2010-03,wind power turbine,0.0
2010-04,combustible fuels,48098.0
2010-04,hydraulic turbine,19680.0
2010-04,wind power turbine,0.0
2010-05,combustible fuels,35185.0
2010-05,hydraulic turbine,18963.0
2010-05,wind power turbine,0.0
2010-06,combustible fuels,57748.0
2010-06,hydraulic turbine,18015.0
2010-06,wind power turbine,0.0
2010-07,combustible fuels,46246.0
2010-07,hydraulic turbine,15533.0
2010-07,wind power turbine,0.0
2010-08,combustible fuels,37555.0
2010-08,hydraulic turbine,16014.0
2010-08,wind power turbine,0.0
2010-09,combustible fuels,33138.0
2010-09,hydraulic turbine,19000.0
2010-09,wind power turbine,0.0
2010-10,combustible fuels,37785.0
2010-10,hydraulic turbine,19892.0
2010-10,wind power turbine,0.0
2010-11,combustible fuels,40173.0
2010-11,hydraulic turbine,24104.0
2010-11,wind power turbine,0.0
2010-12,combustible fuels,42025.0
2010-12,hydraulic turbine,26278.0
2010-12,wind power turbine,0.0
2011-01,combustible fuels,42388.0
2011-01,hydraulic turbine,27643.0
2011-01,wind power turbine,0.0
2011-02,combustible fuels,38638.0
2011-02,hydraulic turbine,23797.0
2011-02,wind power turbine,0.0
2011-03,combustible fuels,40754.0
2011-03,hydraulic turbine,24287.0
2011-03,wind power turbine,0.0
2011-04,combustible fuels,38403.0
2011-04,hydraulic turbine,19691.0
2011-04,wind power turbine,0.0
2011-05,combustible fuels,32719.0
2011-05,hydraulic turbine,19853.0
2011-05,wind power turbine,0.0
2011-06,combustible fuels,31102.0
2011-06,hydraulic turbine,18775.0
2011-06,wind power turbine,0.0
2011-07,combustible fuels,25345.0
2011-07,hydraulic turbine,17327.0
2011-07,wind power turbine,0.0
2011-08,combustible fuels,26620.0
2011-08,hydraulic turbine,18419.0
2011-08,wind power turbine,0.0
2011-09,combustible fuels,25605.0
2011-09,hydraulic turbine,18546.0
2011-09,wind power turbine,0.0
2011-10,combustible fuels,28527.0
2011-10,hydraulic turbine,20989.0
2011-10,wind power turbine,0.0
2011-11,combustible fuels,30703.0
2011-11,hydraulic turbine,22641.0
2011-11,wind power turbine,0.0
2011-12,combustible fuels,29783.0
2011-12,hydraulic turbine,24727.0
