date,generation_type,megawatt_hours
2008-01,combustible fuels,1067613.0
2008-01,hydraulic turbine,107413.0
2008-01,tidal power turbine,2417.0
2008-01,wind power turbine,11562.0
2008-02,combustible fuels,962315.0
2008-02,hydraulic turbine,121149.0
2008-02,tidal power turbine,1915.0
2008-02,wind power turbine,8809.0
2008-03,combustible fuels,1023322.0
2008-03,hydraulic turbine,145267.0
2008-03,tidal power turbine,2473.0
2008-03,wind power turbine,11552.0
2008-04,combustible fuels,906525.0
2008-04,hydraulic turbine,110078.0
2008-04,tidal power turbine,2447.0
2008-04,wind power turbine,7582.0
2008-05,combustible fuels,859102.0
2008-05,hydraulic turbine,87975.0
2008-05,tidal power turbine,2400.0
2008-05,wind power turbine,8993.0
2008-06,combustible fuels,831393.0
2008-06,hydraulic turbine,66502.0
2008-06,tidal power turbine,1249.0
2008-06,wind power turbine,4064.0
2008-07,combustible fuels,879207.0
2008-07,hydraulic turbine,54128.0
2008-07,tidal power turbine,-115.0
2008-07,wind power turbine,4888.0
2008-08,combustible fuels,872424.0
2008-08,hydraulic turbine,50690.0
2008-08,tidal power turbine,-71.0
2008-08,wind power turbine,3650.0
2008-09,combustible fuels,828999.0
2008-09,hydraulic turbine,84541.0
2008-09,tidal power turbine,-65.0
2008-09,wind power turbine,7206.0
2008-10,combustible fuels,881460.0
2008-10,hydraulic turbine,66372.0
2008-10,tidal power turbine,-60.0
2008-10,wind power turbine,9570.0
2008-11,combustible fuels,880230.0
2008-11,hydraulic turbine,71797.0
2008-11,tidal power turbine,389.0
2008-11,wind power turbine,9059.0
2008-12,combustible fuels,968771.0
2008-12,hydraulic turbine,124214.0
2008-12,tidal power turbine,2039.0
2008-12,wind power turbine,10960.0
2009-01,combustible fuels,1082886.0
2009-01,hydraulic turbine,113802.0
2009-01,tidal power turbine,2220.0
2009-01,wind power turbine,9221.0
2009-02,combustible fuels,965455.0
2009-02,hydraulic turbine,88146.0
2009-02,tidal power turbine,2186.0
2009-02,wind power turbine,8944.0
2009-03,combustible fuels,984844.0
2009-03,hydraulic turbine,113616.0
2009-03,tidal power turbine,2570.0
2009-03,wind power turbine,7829.0
2009-04,combustible fuels,819908.0
2009-04,hydraulic turbine,109411.0
2009-04,tidal power turbine,2339.0
2009-04,wind power turbine,8476.0
2009-05,combustible fuels,819319.0
2009-05,hydraulic turbine,122049.0
2009-05,tidal power turbine,2831.0
2009-05,wind power turbine,6188.0
2009-06,combustible fuels,762028.0
2009-06,hydraulic turbine,58832.0
2009-06,tidal power turbine,2484.0
2009-06,wind power turbine,5741.0
2009-07,combustible fuels,781545.0
2009-07,hydraulic turbine,72915.0
2009-07,tidal power turbine,2906.0
2009-07,wind power turbine,4858.0
2009-08,combustible fuels,792019.0
2009-08,hydraulic turbine,63581.0
2009-08,tidal power turbine,2280.0
2009-08,wind power turbine,4694.0
2009-09,combustible fuels,703615.0
2009-09,hydraulic turbine,47910.0
2009-09,tidal power turbine,2544.0
2009-09,wind power turbine,5733.0
2009-10,combustible fuels,822929.0
2009-10,hydraulic turbine,84190.0
2009-10,tidal power turbine,2492.0
2009-10,wind power turbine,9231.0
2009-11,combustible fuels,839469.0
2009-11,hydraulic turbine,84172.0
2009-11,tidal power turbine,2659.0
2009-11,wind power turbine,10967.0
2009-12,combustible fuels,1041951.0
2009-12,hydraulic turbine,109492.0
2009-12,tidal power turbine,2442.0
2009-12,wind power turbine,12943.0
2010-01,combustible fuels,1096373.0
2010-01,hydraulic turbine,111235.0
2010-01,tidal power turbine,1696.0
2010-01,wind power turbine,9122.0
2010-02,combustible fuels,971162.0
2010-02,hydraulic turbine,85928.0
2010-02,tidal power turbine,2015.0
2010-02,wind power turbine,9966.0
2010-03,combustible fuels,973011.0
2010-03,hydraulic turbine,93488.0
2010-03,tidal power turbine,2547.0
2010-03,wind power turbine,11050.0
2010-04,combustible fuels,708161.0
2010-04,hydraulic turbine,97370.0
2010-04,tidal power turbine,2412.0
2010-04,wind power turbine,4466.0
2010-05,combustible fuels,808850.0
2010-05,hydraulic turbine,72743.0
2010-05,tidal power turbine,2695.0
2010-05,wind power turbine,8201.0
2010-06,combustible fuels,798755.0
2010-06,hydraulic turbine,67570.0
2010-06,tidal power turbine,2503.0
2010-06,wind power turbine,5450.0
2010-07,combustible fuels,884925.0
2010-07,hydraulic turbine,55570.0
2010-07,tidal power turbine,2472.0
2010-07,wind power turbine,5879.0
2010-08,combustible fuels,889766.0
2010-08,hydraulic turbine,47359.0
2010-08,tidal power turbine,2636.0
2010-08,wind power turbine,6429.0
2010-09,combustible fuels,776615.0
2010-09,hydraulic turbine,53426.0
2010-09,tidal power turbine,2480.0
2010-09,wind power turbine,7803.0
2010-10,combustible fuels,849105.0
2010-10,hydraulic turbine,58867.0
2010-10,tidal power turbine,2014.0
2010-10,wind power turbine,14766.0
2010-11,combustible fuels,862167.0
2010-11,hydraulic turbine,105556.0
2010-11,tidal power turbine,1913.0
2010-11,wind power turbine,13637.0
2010-12,combustible fuels,889776.0
2010-12,hydraulic turbine,152924.0
2010-12,tidal power turbine,2297.0
2010-12,wind power turbine,27743.0
2011-01,combustible fuels,1029796.0
2011-01,hydraulic turbine,131037.0
2011-01,tidal power turbine,2494.0
2011-01,wind power turbine,22709.0
2011-02,combustible fuels,996697.0
2011-02,hydraulic turbine,104673.0
2011-02,tidal power turbine,2216.0
2011-02,wind power turbine,20724.0
2011-03,combustible fuels,983321.0
2011-03,hydraulic turbine,134181.0
2011-03,tidal power turbine,2400.0
2011-03,wind power turbine,38425.0
2011-04,combustible fuels,776827.0
2011-04,hydraulic turbine,113540.0
2011-04,tidal power turbine,2732.0
2011-04,wind power turbine,36586.0
2011-05,combustible fuels,699535.0
2011-05,hydraulic turbine,133407.0
2011-05,tidal power turbine,2381.0
2011-05,wind power turbine,33214.0
2011-06,combustible fuels,729000.0
2011-06,hydraulic turbine,82095.0
2011-06,tidal power turbine,2516.0
2011-06,wind power turbine,22031.0
2011-07,combustible fuels,804309.0
2011-07,hydraulic turbine,66314.0
2011-07,tidal power turbine,2786.0
2011-07,wind power turbine,22481.0
2011-08,combustible fuels,806930.0
2011-08,hydraulic turbine,45391.0
2011-08,tidal power turbine,1370.0
2011-08,wind power turbine,21797.0
2011-09,combustible fuels,669874.0
2011-09,hydraulic turbine,39633.0
2011-09,tidal power turbine,1880.0
2011-09,wind power turbine,22203.0
2011-10,combustible fuels,662546.0
2011-10,hydraulic turbine,81331.0
2011-10,tidal power turbine,2026.0
2011-10,wind power turbine,30964.0
2011-11,combustible fuels,720009.0
2011-11,hydraulic turbine,75058.0
2011-11,tidal power turbine,1311.0
2011-11,wind power turbine,36290.0
2011-12,combustible fuels,807386.0
2011-12,hydraulic turbine,99204.0
2011-12,tidal power turbine,1983.0
2011-12,wind power turbine,35159.0
2012-01,combustible fuels,907105.0
2012-01,hydraulic turbine,100612.0
2012-01,tidal power turbine,1983.0
2012-01,wind power turbine,41725.0
2012-02,combustible fuels,886228.0
2012-02,hydraulic turbine,90586.0
2012-02,tidal power turbine,1809.0
2012-02,wind power turbine,32650.0
2012-03,combustible fuels,746808.0
2012-03,hydraulic turbine,95109.0
2012-03,tidal power turbine,1765.0
2012-03,wind power turbine,37141.0
2012-04,combustible fuels,686411.0
2012-04,hydraulic turbine,74472.0
2012-04,tidal power turbine,1862.0
2012-04,wind power turbine,36614.0
2012-05,combustible fuels,631851.0
2012-05,hydraulic turbine,69140.0
2012-05,tidal power turbine,2395.0
2012-05,wind power turbine,32946.0
2012-06,combustible fuels,605456.0
2012-06,hydraulic turbine,57846.0
2012-06,tidal power turbine,2891.0
2012-06,wind power turbine,29510.0
2012-07,combustible fuels,655204.0
2012-07,hydraulic turbine,42984.0
2012-07,tidal power turbine,2368.0
2012-07,wind power turbine,25901.0
2012-08,combustible fuels,713573.0
2012-08,hydraulic turbine,19284.0
2012-08,tidal power turbine,2464.0
2012-08,wind power turbine,25625.0
2012-09,combustible fuels,596081.0
2012-09,hydraulic turbine,31132.0
2012-09,tidal power turbine,2609.0
2012-09,wind power turbine,38687.0
2012-10,combustible fuels,691019.0
2012-10,hydraulic turbine,75030.0
2012-10,tidal power turbine,2096.0
2012-10,wind power turbine,47328.0
2012-11,combustible fuels,771661.0
2012-11,hydraulic turbine,91092.0
2012-11,tidal power turbine,2388.0
2012-11,wind power turbine,40089.0
2012-12,combustible fuels,873837.0
2012-12,hydraulic turbine,87254.0
2012-12,tidal power turbine,2498.0
2012-12,wind power turbine,51805.0
2013-01,combustible fuels,942104.0
2013-01,hydraulic turbine,96515.0
2013-01,tidal power turbine,2324.0
2013-01,wind power turbine,57071.0
2013-02,combustible fuels,979037.0
2013-02,hydraulic turbine,95915.0
2013-02,tidal power turbine,2170.0
2013-02,wind power turbine,32752.0
2013-03,combustible fuels,812606.0
2013-03,hydraulic turbine,100245.0
2013-03,tidal power turbine,2559.0
2013-03,wind power turbine,35494.0
2013-04,combustible fuels,714013.0
2013-04,hydraulic turbine,106242.0
2013-04,tidal power turbine,2447.0
2013-04,wind power turbine,36134.0
2013-05,combustible fuels,661360.0
2013-05,hydraulic turbine,76873.0
2013-05,tidal power turbine,2799.0
2013-05,wind power turbine,40293.0
2013-06,combustible fuels,598444.0
2013-06,hydraulic turbine,55597.0
2013-06,tidal power turbine,435.0
2013-06,wind power turbine,33255.0
2013-07,combustible fuels,698431.0
2013-07,hydraulic turbine,58507.0
2013-07,tidal power turbine,585.0
2013-07,wind power turbine,28071.0
2013-08,combustible fuels,657474.0
2013-08,hydraulic turbine,42835.0
2013-08,tidal power turbine,-167.0
2013-08,wind power turbine,29935.0
2013-09,combustible fuels,590276.0
2013-09,hydraulic turbine,59784.0
2013-09,tidal power turbine,-211.0
2013-09,wind power turbine,40263.0
2013-10,combustible fuels,677271.0
2013-10,hydraulic turbine,59658.0
2013-10,tidal power turbine,-152.0
2013-10,wind power turbine,38073.0
2013-11,combustible fuels,765200.0
2013-11,hydraulic turbine,80982.0
2013-11,tidal power turbine,447.0
2013-11,wind power turbine,50222.0
2013-12,combustible fuels,987821.0
2013-12,hydraulic turbine,125356.0
2013-12,tidal power turbine,1594.0
2013-12,wind power turbine,43954.0
2014-01,combustible fuels,927044.0
2014-01,hydraulic turbine,124235.0
2014-01,tidal power turbine,1533.0
2014-01,wind power turbine,56389.0
2014-02,combustible fuels,864089.0
2014-02,hydraulic turbine,113759.0
2014-02,tidal power turbine,1352.0
2014-02,wind power turbine,30714.0
2014-03,combustible fuels,925952.0
2014-03,hydraulic turbine,104012.0
2014-03,tidal power turbine,1983.0
2014-03,wind power turbine,35662.0
2014-04,combustible fuels,704767.0
2014-04,hydraulic turbine,127012.0
2014-04,tidal power turbine,1530.0
2014-04,wind power turbine,36890.0
2014-05,combustible fuels,672137.0
2014-05,hydraulic turbine,110802.0
2014-05,tidal power turbine,1894.0
2014-05,wind power turbine,28829.0
2014-06,combustible fuels,617867.0
2014-06,hydraulic turbine,62031.0
2014-06,tidal power turbine,1865.0
2014-06,wind power turbine,29462.0
2014-07,combustible fuels,648121.0
2014-07,hydraulic turbine,39335.0
2014-07,tidal power turbine,586.0
2014-07,wind power turbine,45184.0
2014-08,combustible fuels,694624.0
2014-08,hydraulic turbine,35915.0
2014-08,tidal power turbine,1781.0
2014-08,wind power turbine,25493.0
2014-09,combustible fuels,573027.0
2014-09,hydraulic turbine,52919.0
2014-09,tidal power turbine,1681.0
2014-09,wind power turbine,34775.0
2014-10,combustible fuels,597968.0
2014-10,hydraulic turbine,56224.0
2014-10,tidal power turbine,1376.0
2014-10,wind power turbine,45054.0
2014-11,combustible fuels,714751.0
2014-11,hydraulic turbine,104423.0
2014-11,tidal power turbine,-4.0
2014-11,wind power turbine,50271.0
2014-12,combustible fuels,784335.0
2014-12,hydraulic turbine,153022.0
2014-12,tidal power turbine,-94.0
2014-12,wind power turbine,47289.0
2015-01,combustible fuels,958414.0
2015-01,hydraulic turbine,101627.0
2015-01,tidal power turbine,-124.0
2015-01,wind power turbine,47869.0
2015-02,combustible fuels,917944.0
2015-02,hydraulic turbine,109073.0
2015-02,tidal power turbine,-164.0
2015-02,wind power turbine,42879.0
2015-03,combustible fuels,913542.0
2015-03,hydraulic turbine,103649.0
2015-03,tidal power turbine,-13.0
2015-03,wind power turbine,48773.0
2015-04,combustible fuels,716581.0
2015-04,hydraulic turbine,101702.0
2015-04,tidal power turbine,1538.0
2015-04,wind power turbine,39683.0
2015-05,combustible fuels,500264.0
2015-05,hydraulic turbine,124550.0
2015-05,tidal power turbine,1615.0
2015-05,wind power turbine,43642.0
2015-06,combustible fuels,523413.0
2015-06,hydraulic turbine,105648.0
2015-06,tidal power turbine,1951.0
2015-06,wind power turbine,37158.0
2015-07,combustible fuels,614097.0
2015-07,hydraulic turbine,78570.0
2015-07,tidal power turbine,870.0
2015-07,wind power turbine,25072.0
2015-08,combustible fuels,640822.0
2015-08,hydraulic turbine,65891.0
2015-08,tidal power turbine,22.0
2015-08,wind power turbine,27536.0
2015-09,combustible fuels,560634.0
2015-09,hydraulic turbine,64474.0
2015-09,tidal power turbine,1791.0
2015-09,wind power turbine,36673.0
2015-10,combustible fuels,624797.0
2015-10,hydraulic turbine,35164.0
2015-10,tidal power turbine,1524.0
2015-10,wind power turbine,50381.0
2015-11,combustible fuels,670862.0
2015-11,hydraulic turbine,38256.0
2015-11,tidal power turbine,1979.0
2015-11,wind power turbine,46108.0
2015-12,combustible fuels,728426.0
2015-12,hydraulic turbine,74700.0
2015-12,tidal power turbine,1831.0
2015-12,wind power turbine,42835.0
2016-01,combustible fuels,823926.0
2016-01,hydraulic turbine,92922.0
2016-01,other types of electricity generation,0.0
2016-01,solar,0.0
2016-01,tidal power turbine,1257.0
2016-01,wind power turbine,106744.0
2016-02,combustible fuels,700949.0
2016-02,hydraulic turbine,115791.0
2016-02,other types of electricity generation,0.0
2016-02,solar,0.0
2016-02,tidal power turbine,1782.0
2016-02,wind power turbine,92039.0
2016-03,combustible fuels,735956.0
2016-03,hydraulic turbine,123478.0
2016-03,other types of electricity generation,0.0
2016-03,solar,0.0
2016-03,tidal power turbine,1901.0
2016-03,wind power turbine,90611.0
2016-04,combustible fuels,593943.0
2016-04,hydraulic turbine,111394.0
2016-04,other types of electricity generation,0.0
2016-04,solar,0.0
2016-04,tidal power turbine,1800.0
2016-04,wind power turbine,83942.0
2016-05,combustible fuels,587239.0
2016-05,hydraulic turbine,95163.0
2016-05,other types of electricity generation,0.0
2016-05,solar,0.0
2016-05,tidal power turbine,1803.0
2016-05,wind power turbine,67204.0
2016-06,combustible fuels,546213.0
2016-06,hydraulic turbine,48131.0
2016-06,other types of electricity generation,0.0
2016-06,solar,0.0
2016-06,tidal power turbine,1314.0
2016-06,wind power turbine,67534.0
2016-07,combustible fuels,614351.0
2016-07,hydraulic turbine,34819.0
2016-07,other types of electricity generation,0.0
2016-07,solar,0.0
2016-07,tidal power turbine,1171.0
2016-07,wind power turbine,56251.0
2016-08,combustible fuels,647547.0
2016-08,hydraulic turbine,28467.0
2016-08,other types of electricity generation,0.0
2016-08,solar,0.0
2016-08,tidal power turbine,1923.0
2016-08,wind power turbine,54786.0
2016-09,combustible fuels,584591.0
2016-09,hydraulic turbine,20608.0
2016-09,other types of electricity generation,0.0
2016-09,solar,0.0
2016-09,tidal power turbine,1415.0
2016-09,wind power turbine,76387.0
2016-10,combustible fuels,628298.0
2016-10,hydraulic turbine,32568.0
2016-10,other types of electricity generation,0.0
2016-10,solar,0.0
2016-10,tidal power turbine,1108.0
2016-10,wind power turbine,97855.0
2016-11,combustible fuels,675770.0
2016-11,hydraulic turbine,61033.0
2016-11,other types of electricity generation,0.0
2016-11,solar,0.0
2016-11,tidal power turbine,1665.0
2016-11,wind power turbine,97006.0
2016-12,combustible fuels,859330.0
2016-12,hydraulic turbine,39114.0
2016-12,other types of electricity generation,0.0
2016-12,solar,0.0
2016-12,tidal power turbine,1408.0
2016-12,wind power turbine,110058.0
2017-01,combustible fuels,859399.0
2017-01,hydraulic turbine,90629.0
2017-01,other types of electricity generation,0.0
2017-01,solar,0.0
2017-01,tidal power turbine,1723.0
2017-01,wind power turbine,97850.0
2017-02,combustible fuels,752049.0
2017-02,hydraulic turbine,91456.0
2017-02,other types of electricity generation,0.0
2017-02,solar,0.0
2017-02,tidal power turbine,1562.0
2017-02,wind power turbine,118316.0
2017-03,combustible fuels,769588.0
2017-03,hydraulic turbine,117440.0
2017-03,other types of electricity generation,0.0
2017-03,solar,0.0
2017-03,tidal power turbine,430.0
2017-03,wind power turbine,139480.0
2017-04,combustible fuels,648591.0
2017-04,hydraulic turbine,97915.0
2017-04,other types of electricity generation,0.0
2017-04,solar,0.0
2017-04,tidal power turbine,0.0
2017-04,wind power turbine,101636.0
2017-05,combustible fuels,534998.0
2017-05,hydraulic turbine,133048.0
2017-05,other types of electricity generation,0.0
2017-05,solar,0.0
2017-05,tidal power turbine,419.0
2017-05,wind power turbine,101390.0
2017-06,combustible fuels,527803.0
2017-06,hydraulic turbine,89506.0
2017-06,other types of electricity generation,0.0
2017-06,solar,0.0
2017-06,tidal power turbine,1316.0
2017-06,wind power turbine,100106.0
2017-07,combustible fuels,584889.0
2017-07,hydraulic turbine,56649.0
2017-07,other types of electricity generation,0.0
2017-07,solar,0.0
2017-07,tidal power turbine,482.0
2017-07,wind power turbine,68883.0
2017-08,combustible fuels,652676.0
2017-08,hydraulic turbine,39972.0
2017-08,other types of electricity generation,0.0
2017-08,solar,0.0
2017-08,tidal power turbine,0.0
2017-08,wind power turbine,70904.0
2017-09,combustible fuels,559487.0
2017-09,hydraulic turbine,23624.0
2017-09,other types of electricity generation,0.0
2017-09,solar,0.0
2017-09,tidal power turbine,0.0
2017-09,wind power turbine,91489.0
2017-10,combustible fuels,497309.0
2017-10,hydraulic turbine,24164.0
2017-10,other types of electricity generation,0.0
2017-10,solar,0.0
2017-10,tidal power turbine,25.0
2017-10,wind power turbine,136754.0
2017-11,combustible fuels,615888.0
2017-11,hydraulic turbine,24327.0
2017-11,other types of electricity generation,0.0
2017-11,solar,0.0
2017-11,tidal power turbine,0.0
2017-11,wind power turbine,141923.0
2017-12,combustible fuels,867565.0
2017-12,hydraulic turbine,60210.0
2017-12,other types of electricity generation,0.0
2017-12,solar,0.0
2017-12,tidal power turbine,0.0
2017-12,wind power turbine,140601.0
2018-01,combustible fuels,881677.0
2018-01,hydraulic turbine,103246.0
2018-01,other types of electricity generation,0.0
2018-01,solar,0.0
2018-01,tidal power turbine,112.0
2018-01,wind power turbine,123099.0
2018-02,combustible fuels,752654.0
2018-02,hydraulic turbine,106972.0
2018-02,other types of electricity generation,0.0
2018-02,solar,0.0
2018-02,tidal power turbine,1804.0
2018-02,wind power turbine,109638.0
2018-03,combustible fuels,748951.0
2018-03,hydraulic turbine,94225.0
2018-03,other types of electricity generation,0.0
2018-03,solar,0.0
2018-03,tidal power turbine,1754.0
2018-03,wind power turbine,118679.0
2018-04,combustible fuels,634249.0
2018-04,hydraulic turbine,110612.0
2018-04,other types of electricity generation,0.0
2018-04,solar,0.0
2018-04,tidal power turbine,2098.0
2018-04,wind power turbine,106498.0
2018-05,combustible fuels,565732.0
2018-05,hydraulic turbine,106853.0
2018-05,other types of electricity generation,0.0
2018-05,solar,0.0
2018-05,tidal power turbine,1969.0
2018-05,wind power turbine,93630.0
2018-06,combustible fuels,541156.0
2018-06,hydraulic turbine,60778.0
2018-06,other types of electricity generation,0.0
2018-06,solar,0.0
2018-06,tidal power turbine,1645.0
2018-06,wind power turbine,88735.0
2018-07,combustible fuels,592452.0
2018-07,hydraulic turbine,55072.0
2018-07,other types of electricity generation,0.0
2018-07,solar,0.0
