date,generation_type,megawatt_hours
2008-01,combustible fuels,14686.0
2008-01,hydraulic turbine,0.0
2008-02,combustible fuels,13731.0
2008-02,hydraulic turbine,0.0
2008-03,combustible fuels,14171.0
2008-03,hydraulic turbine,0.0
2008-04,combustible fuels,12732.0
2008-04,hydraulic turbine,0.0
2008-05,combustible fuels,11999.0
2008-05,hydraulic turbine,0.0
2008-06,combustible fuels,11126.0
2008-06,hydraulic turbine,0.0
2008-07,combustible fuels,11033.0
2008-07,hydraulic turbine,0.0
2008-08,combustible fuels,11884.0
2008-08,hydraulic turbine,0.0
2008-09,combustible fuels,11920.0
2008-09,hydraulic turbine,0.0
2008-10,combustible fuels,13398.0
2008-10,hydraulic turbine,0.0
2008-11,combustible fuels,13712.0
2008-11,hydraulic turbine,0.0
2008-12,combustible fuels,14871.0
2008-12,hydraulic turbine,0.0
2009-01,combustible fuels,14880.0
2009-01,hydraulic turbine,0.0
2009-02,combustible fuels,13212.0
2009-02,hydraulic turbine,0.0
2009-03,combustible fuels,14410.0
2009-03,hydraulic turbine,0.0
2009-04,combustible fuels,13316.0
2009-04,hydraulic turbine,0.0
2009-05,combustible fuels,12803.0
2009-05,hydraulic turbine,0.0
2009-06,combustible fuels,11459.0
2009-06,hydraulic turbine,0.0
2009-07,combustible fuels,11439.0
2009-07,hydraulic turbine,0.0
2009-08,combustible fuels,12031.0
2009-08,hydraulic turbine,0.0
2009-09,combustible fuels,12559.0
2009-09,hydraulic turbine,0.0
2009-10,combustible fuels,13900.0
2009-10,hydraulic turbine,0.0
2009-11,combustible fuels,14839.0
2009-11,hydraulic turbine,0.0
2009-12,combustible fuels,15435.0
2009-12,hydraulic turbine,0.0
2010-01,combustible fuels,15753.0
2010-01,hydraulic turbine,0.0
2010-02,combustible fuels,14033.0
2010-02,hydraulic turbine,0.0
2010-03,combustible fuels,16160.0
2010-03,hydraulic turbine,0.0
2010-04,combustible fuels,13311.0
2010-04,hydraulic turbine,0.0
2010-05,combustible fuels,13069.0
2010-05,hydraulic turbine,0.0
2010-06,combustible fuels,12004.0
2010-06,hydraulic turbine,0.0
2010-07,combustible fuels,12070.0
2010-07,hydraulic turbine,0.0
2010-08,combustible fuels,12383.0
2010-08,hydraulic turbine,0.0
2010-09,combustible fuels,12916.0
2010-09,hydraulic turbine,0.0
2010-10,combustible fuels,13061.0
2010-10,hydraulic turbine,0.0
2010-11,combustible fuels,14873.0
2010-11,hydraulic turbine,0.0
2010-12,combustible fuels,15736.0
2010-12,hydraulic turbine,0.0
2011-01,combustible fuels,16212.0
2011-01,hydraulic turbine,0.0
2011-02,combustible fuels,14850.0
2011-02,hydraulic turbine,0.0
2011-03,combustible fuels,16052.0
2011-03,hydraulic turbine,0.0
2011-04,combustible fuels,14448.0
2011-04,hydraulic turbine,0.0
2011-05,combustible fuels,13368.0
2011-05,hydraulic turbine,0.0
2011-06,combustible fuels,12602.0
2011-06,hydraulic turbine,0.0
2011-07,combustible fuels,12446.0
2011-07,hydraulic turbine,0.0
2011-08,combustible fuels,12821.0
2011-08,hydraulic turbine,0.0
2011-09,combustible fuels,13447.0
2011-09,hydraulic turbine,0.0
2011-10,combustible fuels,14690.0
2011-10,hydraulic turbine,0.0
2011-11,combustible fuels,15499.0
2011-11,hydraulic turbine,0.0
2011-12,combustible fuels,15454.0
2011-12,hydraulic turbine,0.0
2012-01,combustible fuels,17320.0
2012-01,hydraulic turbine,0.0
2012-02,combustible fuels,15845.0
2012-02,hydraulic turbine,0.0
2012-03,combustible fuels,16637.0
2012-03,hydraulic turbine,0.0
2012-04,combustible fuels,14520.0
2012-04,hydraulic turbine,0.0
2012-05,combustible fuels,13794.0
2012-05,hydraulic turbine,0.0
2012-06,combustible fuels,12664.0
2012-06,hydraulic turbine,0.0
2012-07,combustible fuels,12433.0
2012-07,hydraulic turbine,0.0
2012-08,combustible fuels,13272.0
2012-08,hydraulic turbine,0.0
2012-09,combustible fuels,13363.0
2012-09,hydraulic turbine,0.0
2012-10,combustible fuels,15040.0
2012-10,hydraulic turbine,0.0
2012-11,combustible fuels,16001.0
2012-11,hydraulic turbine,0.0
2012-12,combustible fuels,16672.0
2012-12,hydraulic turbine,0.0
2013-01,combustible fuels,17338.0
2013-01,hydraulic turbine,0.0
2013-02,combustible fuels,15575.0
2013-02,hydraulic turbine,0.0
2013-03,combustible fuels,16050.0
2013-03,hydraulic turbine,0.0
2013-04,combustible fuels,15173.0
2013-04,hydraulic turbine,0.0
2013-05,combustible fuels,14242.0
2013-05,hydraulic turbine,0.0
2013-06,combustible fuels,12758.0
2013-06,hydraulic turbine,0.0
2013-07,combustible fuels,12715.0
2013-07,hydraulic turbine,0.0
2013-08,combustible fuels,13413.0
2013-08,hydraulic turbine,0.0
2013-09,combustible fuels,13735.0
2013-09,hydraulic turbine,0.0
2013-10,combustible fuels,14379.0
2013-10,hydraulic turbine,0.0
2013-11,combustible fuels,16046.0
2013-11,hydraulic turbine,0.0
2013-12,combustible fuels,17555.0
2013-12,hydraulic turbine,0.0
2014-01,combustible fuels,16831.0
2014-01,hydraulic turbine,0.0
2014-02,combustible fuels,15657.0
2014-02,hydraulic turbine,0.0
2014-03,combustible fuels,16772.0
2014-03,hydraulic turbine,0.0
2014-04,combustible fuels,15112.0
2014-04,hydraulic turbine,0.0
2014-05,combustible fuels,14226.0
2014-05,hydraulic turbine,0.0
2014-06,combustible fuels,12905.0
2014-06,hydraulic turbine,0.0
2014-07,combustible fuels,12685.0
2014-07,hydraulic turbine,0.0
2014-08,combustible fuels,13695.0
2014-08,hydraulic turbine,0.0
2014-09,combustible fuels,13839.0
2014-09,hydraulic turbine,0.0
2014-10,combustible fuels,15652.0
2014-10,hydraulic turbine,0.0
2014-11,combustible fuels,16474.0
2014-11,hydraulic turbine,0.0
2014-12,combustible fuels,17432.0
2014-12,hydraulic turbine,0.0
2015-01,combustible fuels,18378.0
2015-01,hydraulic turbine,0.0
2015-02,combustible fuels,16707.0
2015-02,hydraulic turbine,0.0
2015-03,combustible fuels,17360.0
2015-03,hydraulic turbine,0.0
2015-04,combustible fuels,15471.0
2015-04,hydraulic turbine,0.0
2015-05,combustible fuels,14510.0
2015-05,hydraulic turbine,0.0
2015-06,combustible fuels,13482.0
2015-06,hydraulic turbine,0.0
2015-07,combustible fuels,13255.0
2015-07,hydraulic turbine,0.0
2015-08,combustible fuels,13597.0
2015-08,hydraulic turbine,0.0
