date,generation_type,megawatt_hours
2008-01,combustible fuels,3324661.0
2008-01,hydraulic turbine,3365888.0
2008-01,nuclear steam turbine,8129943.0
2008-01,other types of electricity generation,0.0
2008-01,solar,0.0
2008-01,wind power turbine,49707.0
2008-02,combustible fuels,3578838.0
2008-02,hydraulic turbine,3357219.0
2008-02,nuclear steam turbine,6882095.0
2008-02,other types of electricity generation,0.0
2008-02,solar,0.0
2008-02,wind power turbine,32744.0
2008-03,combustible fuels,3723213.0
2008-03,hydraulic turbine,3517868.0
2008-03,nuclear steam turbine,6437849.0
2008-03,other types of electricity generation,0.0
2008-03,solar,0.0
2008-03,wind power turbine,44174.0
2008-04,combustible fuels,2759306.0
2008-04,hydraulic turbine,3747720.0
2008-04,nuclear steam turbine,6122031.0
2008-04,other types of electricity generation,0.0
2008-04,solar,0.0
2008-04,wind power turbine,49234.0
2008-05,combustible fuels,2255208.0
2008-05,hydraulic turbine,4172078.0
2008-05,nuclear steam turbine,6009263.0
2008-05,other types of electricity generation,0.0
2008-05,solar,0.0
2008-05,wind power turbine,44593.0
2008-06,combustible fuels,3203710.0
2008-06,hydraulic turbine,3504889.0
2008-06,nuclear steam turbine,6447383.0
2008-06,other types of electricity generation,0.0
2008-06,solar,0.0
2008-06,wind power turbine,36210.0
2008-07,combustible fuels,3262192.0
2008-07,hydraulic turbine,3699710.0
2008-07,nuclear steam turbine,7405775.0
2008-07,other types of electricity generation,0.0
2008-07,solar,0.0
2008-07,wind power turbine,23116.0
2008-08,combustible fuels,2993650.0
2008-08,hydraulic turbine,3292063.0
2008-08,nuclear steam turbine,7483400.0
2008-08,other types of electricity generation,0.0
2008-08,solar,0.0
2008-08,wind power turbine,23401.0
2008-09,combustible fuels,2682417.0
2008-09,hydraulic turbine,2599461.0
2008-09,nuclear steam turbine,6984088.0
2008-09,other types of electricity generation,0.0
2008-09,solar,0.0
2008-09,wind power turbine,35608.0
2008-10,combustible fuels,2474827.0
2008-10,hydraulic turbine,2728699.0
2008-10,nuclear steam turbine,7076983.0
2008-10,other types of electricity generation,0.0
2008-10,solar,0.0
2008-10,wind power turbine,57228.0
2008-11,combustible fuels,2606970.0
2008-11,hydraulic turbine,2878946.0
2008-11,nuclear steam turbine,6650435.0
2008-11,other types of electricity generation,0.0
2008-11,solar,0.0
2008-11,wind power turbine,43544.0
2008-12,combustible fuels,2702081.0
2008-12,hydraulic turbine,3146635.0
2008-12,nuclear steam turbine,7821046.0
2008-12,other types of electricity generation,0.0
2008-12,solar,0.0
2008-12,wind power turbine,52563.0
2009-01,combustible fuels,3293742.0
2009-01,hydraulic turbine,3414774.0
2009-01,nuclear steam turbine,7805428.0
2009-01,other types of electricity generation,0.0
2009-01,solar,0.0
2009-01,wind power turbine,31103.0
2009-02,combustible fuels,2290242.0
2009-02,hydraulic turbine,3161564.0
2009-02,nuclear steam turbine,6758349.0
2009-02,other types of electricity generation,0.0
2009-02,solar,0.0
2009-02,wind power turbine,39740.0
2009-03,combustible fuels,2040604.0
2009-03,hydraulic turbine,3395961.0
2009-03,nuclear steam turbine,7548043.0
2009-03,other types of electricity generation,0.0
2009-03,solar,0.0
2009-03,wind power turbine,50650.0
2009-04,combustible fuels,1479353.0
2009-04,hydraulic turbine,3335820.0
2009-04,nuclear steam turbine,6058499.0
2009-04,other types of electricity generation,0.0
2009-04,solar,0.0
2009-04,wind power turbine,53912.0
2009-05,combustible fuels,1814064.0
2009-05,hydraulic turbine,4090928.0
2009-05,nuclear steam turbine,4836097.0
2009-05,other types of electricity generation,0.0
2009-05,solar,0.0
2009-05,wind power turbine,50443.0
2009-06,combustible fuels,1365382.0
2009-06,hydraulic turbine,3471974.0
2009-06,nuclear steam turbine,6726538.0
2009-06,other types of electricity generation,0.0
2009-06,solar,0.0
2009-06,wind power turbine,21786.0
2009-07,combustible fuels,1167078.0
2009-07,hydraulic turbine,3363126.0
2009-07,nuclear steam turbine,7344142.0
2009-07,other types of electricity generation,0.0
2009-07,solar,0.0
2009-07,wind power turbine,22191.0
2009-08,combustible fuels,1569793.0
2009-08,hydraulic turbine,3416100.0
2009-08,nuclear steam turbine,7356699.0
2009-08,other types of electricity generation,0.0
2009-08,solar,0.0
2009-08,wind power turbine,27496.0
2009-09,combustible fuels,1227520.0
2009-09,hydraulic turbine,2838381.0
2009-09,nuclear steam turbine,6699478.0
2009-09,other types of electricity generation,0.0
2009-09,solar,0.0
2009-09,wind power turbine,23167.0
2009-10,combustible fuels,1599152.0
2009-10,hydraulic turbine,2979906.0
2009-10,nuclear steam turbine,6285740.0
2009-10,other types of electricity generation,0.0
2009-10,solar,0.0
2009-10,wind power turbine,44588.0
2009-11,combustible fuels,1438208.0
2009-11,hydraulic turbine,3234927.0
2009-11,nuclear steam turbine,6460658.0
2009-11,other types of electricity generation,0.0
2009-11,solar,0.0
2009-11,wind power turbine,47493.0
2009-12,combustible fuels,2370016.0
2009-12,hydraulic turbine,3355673.0
2009-12,nuclear steam turbine,7868915.0
2009-12,other types of electricity generation,0.0
2009-12,solar,0.0
2009-12,wind power turbine,42882.0
2010-01,combustible fuels,3010087.0
2010-01,hydraulic turbine,3340348.0
2010-01,nuclear steam turbine,7230749.0
2010-01,other types of electricity generation,0.0
2010-01,solar,0.0
2010-01,wind power turbine,150694.0
2010-02,combustible fuels,2278346.0
2010-02,hydraulic turbine,3022382.0
2010-02,nuclear steam turbine,6661550.0
2010-02,other types of electricity generation,0.0
2010-02,solar,0.0
2010-02,wind power turbine,110566.0
2010-03,combustible fuels,1645741.0
2010-03,hydraulic turbine,3293412.0
2010-03,nuclear steam turbine,6981165.0
2010-03,other types of electricity generation,0.0
2010-03,solar,0.0
2010-03,wind power turbine,154898.0
2010-04,combustible fuels,1540965.0
2010-04,hydraulic turbine,2714830.0
2010-04,nuclear steam turbine,5976411.0
2010-04,other types of electricity generation,0.0
2010-04,solar,0.0
2010-04,wind power turbine,68557.0
2010-05,combustible fuels,2187735.0
2010-05,hydraulic turbine,2552918.0
2010-05,nuclear steam turbine,5602314.0
2010-05,other types of electricity generation,0.0
2010-05,solar,0.0
2010-05,wind power turbine,54246.0
2010-06,combustible fuels,2634855.0
2010-06,hydraulic turbine,2201042.0
2010-06,nuclear steam turbine,6442300.0
2010-06,other types of electricity generation,0.0
2010-06,solar,0.0
2010-06,wind power turbine,67005.0
2010-07,combustible fuels,3195145.0
2010-07,hydraulic turbine,2195841.0
2010-07,nuclear steam turbine,6943701.0
2010-07,other types of electricity generation,0.0
2010-07,solar,0.0
2010-07,wind power turbine,57509.0
2010-08,combustible fuels,2851264.0
2010-08,hydraulic turbine,2076218.0
2010-08,nuclear steam turbine,7034371.0
2010-08,other types of electricity generation,0.0
2010-08,solar,0.0
2010-08,wind power turbine,67061.0
2010-09,combustible fuels,1433897.0
2010-09,hydraulic turbine,2367991.0
2010-09,nuclear steam turbine,7133289.0
2010-09,other types of electricity generation,0.0
2010-09,solar,0.0
2010-09,wind power turbine,124558.0
2010-10,combustible fuels,1246363.0
2010-10,hydraulic turbine,2796019.0
2010-10,nuclear steam turbine,7073611.0
2010-10,other types of electricity generation,0.0
2010-10,solar,0.0
2010-10,wind power turbine,127080.0
2010-11,combustible fuels,1567645.0
2010-11,hydraulic turbine,2770905.0
2010-11,nuclear steam turbine,6766071.0
2010-11,other types of electricity generation,0.0
2010-11,solar,0.0
2010-11,wind power turbine,152553.0
2010-12,combustible fuels,1836101.0
2010-12,hydraulic turbine,3243253.0
2010-12,nuclear steam turbine,8127756.0
2010-12,other types of electricity generation,0.0
2010-12,solar,0.0
2010-12,wind power turbine,135753.0
2011-01,combustible fuels,1786533.0
2011-01,hydraulic turbine,3238212.0
2011-01,nuclear steam turbine,8315538.0
2011-01,other types of electricity generation,0.0
2011-01,solar,0.0
2011-01,wind power turbine,151663.0
2011-02,combustible fuels,1392638.0
2011-02,hydraulic turbine,2810965.0
2011-02,nuclear steam turbine,6860712.0
2011-02,other types of electricity generation,0.0
2011-02,solar,0.0
2011-02,wind power turbine,242239.0
2011-03,combustible fuels,1429222.0
2011-03,hydraulic turbine,3107718.0
2011-03,nuclear steam turbine,7301994.0
2011-03,other types of electricity generation,0.0
2011-03,solar,0.0
2011-03,wind power turbine,182684.0
2011-04,combustible fuels,1053581.0
2011-04,hydraulic turbine,3006667.0
2011-04,nuclear steam turbine,6848496.0
2011-04,other types of electricity generation,0.0
2011-04,solar,0.0
2011-04,wind power turbine,229455.0
2011-05,combustible fuels,936353.0
2011-05,hydraulic turbine,3573881.0
2011-05,nuclear steam turbine,6968807.0
2011-05,other types of electricity generation,0.0
2011-05,solar,0.0
2011-05,wind power turbine,164630.0
2011-06,combustible fuels,1125667.0
2011-06,hydraulic turbine,3353023.0
2011-06,nuclear steam turbine,6675698.0
2011-06,other types of electricity generation,0.0
2011-06,solar,0.0
2011-06,wind power turbine,127976.0
2011-07,combustible fuels,2346475.0
2011-07,hydraulic turbine,2912466.0
2011-07,nuclear steam turbine,7409918.0
2011-07,other types of electricity generation,0.0
2011-07,solar,0.0
2011-07,wind power turbine,50789.0
2011-08,combustible fuels,1609801.0
2011-08,hydraulic turbine,2440926.0
2011-08,nuclear steam turbine,7949859.0
2011-08,other types of electricity generation,0.0
2011-08,solar,0.0
2011-08,wind power turbine,55882.0
2011-09,combustible fuels,1026821.0
2011-09,hydraulic turbine,2118760.0
2011-09,nuclear steam turbine,7574606.0
2011-09,other types of electricity generation,0.0
2011-09,solar,13396.0
2011-09,wind power turbine,81174.0
2011-10,combustible fuels,1171504.0
2011-10,hydraulic turbine,2321940.0
2011-10,nuclear steam turbine,7219272.0
2011-10,other types of electricity generation,0.0
2011-10,solar,18760.0
2011-10,wind power turbine,119924.0
2011-11,combustible fuels,1437724.0
2011-11,hydraulic turbine,2646285.0
2011-11,nuclear steam turbine,6309923.0
2011-11,other types of electricity generation,0.0
2011-11,solar,13286.0
2011-11,wind power turbine,194075.0
2011-12,combustible fuels,1346837.0
2011-12,hydraulic turbine,2950430.0
2011-12,nuclear steam turbine,7386685.0
2011-12,other types of electricity generation,0.0
2011-12,solar,9472.0
2011-12,wind power turbine,174939.0
2012-01,combustible fuels,1573749.0
2012-01,hydraulic turbine,3154538.0
2012-01,nuclear steam turbine,7171965.0
2012-01,other types of electricity generation,0.0
2012-01,solar,9516.0
2012-01,wind power turbine,275030.0
2012-02,combustible fuels,1558299.0
2012-02,hydraulic turbine,3107626.0
2012-02,nuclear steam turbine,6298994.0
2012-02,other types of electricity generation,0.0
2012-02,solar,12149.0
2012-02,wind power turbine,213941.0
2012-03,combustible fuels,1417498.0
2012-03,hydraulic turbine,3229267.0
2012-03,nuclear steam turbine,6930032.0
2012-03,other types of electricity generation,0.0
2012-03,solar,20232.0
2012-03,wind power turbine,252553.0
2012-04,combustible fuels,1134199.0
2012-04,hydraulic turbine,3221345.0
2012-04,nuclear steam turbine,6350913.0
2012-04,other types of electricity generation,0.0
2012-04,solar,27065.0
2012-04,wind power turbine,253655.0
2012-05,combustible fuels,1232920.0
2012-05,hydraulic turbine,3049509.0
2012-05,nuclear steam turbine,7087748.0
2012-05,other types of electricity generation,0.0
2012-05,solar,29993.0
2012-05,wind power turbine,191470.0
2012-06,combustible fuels,1501330.0
2012-06,hydraulic turbine,2691341.0
2012-06,nuclear steam turbine,7312487.0
2012-06,other types of electricity generation,0.0
2012-06,solar,33253.0
2012-06,wind power turbine,212853.0
2012-07,combustible fuels,1913569.0
2012-07,hydraulic turbine,2418246.0
2012-07,nuclear steam turbine,8006598.0
2012-07,other types of electricity generation,0.0
2012-07,solar,33484.0
2012-07,wind power turbine,124592.0
2012-08,combustible fuels,1594682.0
2012-08,hydraulic turbine,2349384.0
2012-08,nuclear steam turbine,7661752.0
2012-08,other types of electricity generation,0.0
2012-08,solar,30375.0
2012-08,wind power turbine,167207.0
2012-09,combustible fuels,1348165.0
2012-09,hydraulic turbine,2155097.0
2012-09,nuclear steam turbine,6744774.0
2012-09,other types of electricity generation,0.0
2012-09,solar,28375.0
2012-09,wind power turbine,201920.0
2012-10,combustible fuels,1256999.0
2012-10,hydraulic turbine,2483257.0
2012-10,nuclear steam turbine,7493930.0
2012-10,other types of electricity generation,0.0
2012-10,solar,16346.0
2012-10,wind power turbine,361221.0
2012-11,combustible fuels,1382782.0
2012-11,hydraulic turbine,2843162.0
2012-11,nuclear steam turbine,7843876.0
2012-11,other types of electricity generation,0.0
2012-11,solar,11233.0
2012-11,wind power turbine,269378.0
2012-12,combustible fuels,1626662.0
2012-12,hydraulic turbine,3067990.0
2012-12,nuclear steam turbine,7850358.0
2012-12,other types of electricity generation,0.0
2012-12,solar,7694.0
2012-12,wind power turbine,328873.0
2013-01,combustible fuels,1910777.0
