date,generation_type,megawatt_hours
2008-01,combustible fuels,-34.0
2008-01,wind power turbine,11355.0
2008-02,combustible fuels,346.0
2008-02,wind power turbine,9829.0
2008-03,combustible fuels,-291.0
2008-03,wind power turbine,9187.0
2008-04,combustible fuels,-224.0
2008-04,wind power turbine,5499.0
2008-05,combustible fuels,-170.0
2008-05,wind power turbine,4859.0
2008-06,combustible fuels,-129.0
2008-06,wind power turbine,4937.0
2008-07,combustible fuels,-156.0
2008-07,wind power turbine,4538.0
2008-08,combustible fuels,-146.0
2008-08,wind power turbine,7387.0
2008-09,combustible fuels,-155.0
2008-09,wind power turbine,9292.0
2008-10,combustible fuels,12.0
2008-10,wind power turbine,12753.0
2008-11,combustible fuels,-108.0
2008-11,wind power turbine,10991.0
2008-12,combustible fuels,1548.0
2008-12,wind power turbine,14899.0
2009-01,combustible fuels,1352.0
2009-01,wind power turbine,11805.0
2009-02,combustible fuels,-230.0
2009-02,wind power turbine,11895.0
2009-03,combustible fuels,-255.0
2009-03,wind power turbine,10974.0
2009-04,combustible fuels,-48.0
2009-04,wind power turbine,11348.0
2009-05,combustible fuels,-172.0
2009-05,wind power turbine,9856.0
2009-06,combustible fuels,-122.0
2009-06,wind power turbine,7037.0
2009-07,combustible fuels,-142.0
2009-07,wind power turbine,6253.0
2009-08,combustible fuels,-110.0
2009-08,wind power turbine,6599.0
2009-09,combustible fuels,7.0
2009-09,wind power turbine,8903.0
2009-10,combustible fuels,0.0
2009-10,wind power turbine,10783.0
2009-11,combustible fuels,8.0
2009-11,wind power turbine,10878.0
2009-12,combustible fuels,0.0
2009-12,wind power turbine,13057.0
2010-01,combustible fuels,8.0
2010-01,wind power turbine,12795.0
2010-02,combustible fuels,8.0
2010-02,wind power turbine,10638.0
2010-03,combustible fuels,9.0
2010-03,wind power turbine,10832.0
2010-04,combustible fuels,8.0
2010-04,wind power turbine,33227.0
2010-05,combustible fuels,8.0
2010-05,wind power turbine,36615.0
2010-06,combustible fuels,8.0
2010-06,wind power turbine,24370.0
2010-07,combustible fuels,8.0
2010-07,wind power turbine,24640.0
2010-08,combustible fuels,7.0
2010-08,wind power turbine,14636.0
2010-09,combustible fuels,0.0
2010-09,wind power turbine,35300.0
2010-10,combustible fuels,6.0
2010-10,wind power turbine,51361.0
2010-11,combustible fuels,0.0
2010-11,wind power turbine,48306.0
2010-12,combustible fuels,617.0
2010-12,wind power turbine,50803.0
2011-01,combustible fuels,-175.0
2011-01,wind power turbine,46436.0
2011-02,combustible fuels,512.0
2011-02,wind power turbine,46884.0
2011-03,combustible fuels,-136.0
2011-03,wind power turbine,53639.0
2011-04,combustible fuels,-188.0
2011-04,wind power turbine,45892.0
2011-05,combustible fuels,-154.0
2011-05,wind power turbine,41798.0
2011-06,combustible fuels,-159.0
2011-06,wind power turbine,23046.0
2011-07,combustible fuels,-128.0
2011-07,wind power turbine,9948.0
2011-08,combustible fuels,-156.0
2011-08,wind power turbine,9244.0
2011-09,combustible fuels,-125.0
2011-09,wind power turbine,9909.0
2011-10,combustible fuels,-169.0
2011-10,wind power turbine,14262.0
2011-11,combustible fuels,-73.0
2011-11,wind power turbine,16135.0
2011-12,combustible fuels,1136.0
2011-12,wind power turbine,15780.0
2012-01,combustible fuels,-200.0
2012-01,wind power turbine,16172.0
2012-02,combustible fuels,69.0
2012-02,wind power turbine,13645.0
2012-03,combustible fuels,-210.0
2012-03,wind power turbine,15086.0
2012-04,combustible fuels,-183.0
2012-04,wind power turbine,13505.0
2012-05,combustible fuels,-169.0
2012-05,wind power turbine,9715.0
2012-06,combustible fuels,1299.0
2012-06,wind power turbine,10418.0
2012-07,combustible fuels,12730.0
2012-07,wind power turbine,7401.0
2012-08,combustible fuels,-1153.0
2012-08,wind power turbine,7161.0
2012-09,combustible fuels,-135.0
2012-09,wind power turbine,13170.0
2012-10,combustible fuels,-166.0
2012-10,wind power turbine,16348.0
2012-11,combustible fuels,-143.0
