date,generation_type,megawatt_hours
2008-01,combustible fuels,177007.0
2008-01,hydraulic turbine,18523856.0
2008-01,nuclear steam turbine,425985.0
2008-01,wind power turbine,43260.0
2008-02,combustible fuels,148044.0
2008-02,hydraulic turbine,18844813.0
2008-02,nuclear steam turbine,353320.0
2008-02,wind power turbine,41009.0
2008-03,combustible fuels,149596.0
2008-03,hydraulic turbine,18096645.0
2008-03,nuclear steam turbine,459575.0
2008-03,wind power turbine,39964.0
2008-04,combustible fuels,126142.0
2008-04,hydraulic turbine,15466371.0
2008-04,nuclear steam turbine,50704.0
2008-04,wind power turbine,28550.0
2008-05,combustible fuels,121307.0
2008-05,hydraulic turbine,13697317.0
2008-05,nuclear steam turbine,-4838.0
2008-05,wind power turbine,20849.0
2008-06,combustible fuels,136684.0
2008-06,hydraulic turbine,14024233.0
2008-06,nuclear steam turbine,195310.0
2008-06,wind power turbine,22249.0
2008-07,combustible fuels,129955.0
2008-07,hydraulic turbine,14184610.0
2008-07,nuclear steam turbine,449968.0
2008-07,wind power turbine,26345.0
2008-08,combustible fuels,121819.0
2008-08,hydraulic turbine,13701243.0
2008-08,nuclear steam turbine,370878.0
2008-08,wind power turbine,23648.0
2008-09,combustible fuels,122290.0
2008-09,hydraulic turbine,12478219.0
2008-09,nuclear steam turbine,421147.0
2008-09,wind power turbine,29851.0
2008-10,combustible fuels,99476.0
2008-10,hydraulic turbine,13488685.0
2008-10,nuclear steam turbine,436045.0
2008-10,wind power turbine,42617.0
2008-11,combustible fuels,131996.0
2008-11,hydraulic turbine,14911686.0
2008-11,nuclear steam turbine,440078.0
2008-11,wind power turbine,34680.0
2008-12,combustible fuels,169326.0
2008-12,hydraulic turbine,18982856.0
2008-12,nuclear steam turbine,459426.0
2008-12,wind power turbine,40626.0
2009-01,combustible fuels,340639.0
2009-01,hydraulic turbine,20633434.0
2009-01,nuclear steam turbine,447133.0
2009-01,wind power turbine,45001.0
2009-02,combustible fuels,157337.0
2009-02,hydraulic turbine,17693773.0
2009-02,nuclear steam turbine,408932.0
2009-02,wind power turbine,32402.0
2009-03,combustible fuels,144050.0
2009-03,hydraulic turbine,17017817.0
2009-03,nuclear steam turbine,393722.0
2009-03,wind power turbine,39105.0
2009-04,combustible fuels,129422.0
2009-04,hydraulic turbine,13873206.0
2009-04,nuclear steam turbine,-5412.0
2009-04,wind power turbine,40995.0
2009-05,combustible fuels,113775.0
2009-05,hydraulic turbine,13441365.0
2009-05,nuclear steam turbine,-4878.0
2009-05,wind power turbine,29412.0
2009-06,combustible fuels,120519.0
2009-06,hydraulic turbine,13794378.0
2009-06,nuclear steam turbine,-4862.0
2009-06,wind power turbine,17474.0
2009-07,combustible fuels,126040.0
2009-07,hydraulic turbine,14161205.0
2009-07,nuclear steam turbine,189868.0
2009-07,wind power turbine,18009.0
2009-08,combustible fuels,128980.0
2009-08,hydraulic turbine,14634420.0
2009-08,nuclear steam turbine,438947.0
2009-08,wind power turbine,23065.0
2009-09,combustible fuels,122146.0
2009-09,hydraulic turbine,13507548.0
2009-09,nuclear steam turbine,435062.0
2009-09,wind power turbine,32400.0
2009-10,combustible fuels,119699.0
2009-10,hydraulic turbine,16091278.0
2009-10,nuclear steam turbine,419087.0
2009-10,wind power turbine,29772.0
2009-11,combustible fuels,28567.0
2009-11,hydraulic turbine,14512046.0
2009-11,nuclear steam turbine,432962.0
2009-11,wind power turbine,42162.0
2009-12,combustible fuels,250864.0
2009-12,hydraulic turbine,18504467.0
2009-12,nuclear steam turbine,445718.0
2009-12,wind power turbine,28326.0
2010-01,combustible fuels,154078.0
2010-01,hydraulic turbine,20366528.0
2010-01,nuclear steam turbine,451074.0
2010-01,wind power turbine,22404.0
2010-02,combustible fuels,146051.0
2010-02,hydraulic turbine,17867855.0
2010-02,nuclear steam turbine,406520.0
2010-02,wind power turbine,22451.0
2010-03,combustible fuels,351602.0
2010-03,hydraulic turbine,16890259.0
2010-03,nuclear steam turbine,392193.0
2010-03,wind power turbine,37812.0
2010-04,combustible fuels,-73747.0
2010-04,hydraulic turbine,15065650.0
2010-04,nuclear steam turbine,182057.0
2010-04,wind power turbine,26683.0
2010-05,combustible fuels,113175.0
2010-05,hydraulic turbine,14365173.0
2010-05,nuclear steam turbine,-4790.0
2010-05,wind power turbine,37143.0
2010-06,combustible fuels,124708.0
2010-06,hydraulic turbine,13211303.0
2010-06,nuclear steam turbine,-4899.0
2010-06,wind power turbine,27728.0
2010-07,combustible fuels,119836.0
2010-07,hydraulic turbine,13825331.0
2010-07,nuclear steam turbine,-10042.0
2010-07,wind power turbine,27532.0
2010-08,combustible fuels,141644.0
2010-08,hydraulic turbine,12605394.0
2010-08,nuclear steam turbine,394173.0
2010-08,wind power turbine,22877.0
2010-09,combustible fuels,108026.0
2010-09,hydraulic turbine,11031653.0
2010-09,nuclear steam turbine,420829.0
2010-09,wind power turbine,36349.0
2010-10,combustible fuels,110616.0
2010-10,hydraulic turbine,12073808.0
2010-10,nuclear steam turbine,435892.0
2010-10,wind power turbine,48915.0
2010-11,combustible fuels,118087.0
2010-11,hydraulic turbine,13631016.0
2010-11,nuclear steam turbine,193097.0
