date,generation_type,megawatt_hours
2008-01,combustible fuels,1402281.0
2008-01,hydraulic turbine,367353.0
2008-01,other types of electricity generation,0.0
2008-01,wind power turbine,63792.0
2008-02,combustible fuels,1274229.0
2008-02,hydraulic turbine,333914.0
2008-02,other types of electricity generation,0.0
2008-02,wind power turbine,36110.0
2008-03,combustible fuels,1251551.0
2008-03,hydraulic turbine,274132.0
2008-03,other types of electricity generation,0.0
2008-03,wind power turbine,40967.0
2008-04,combustible fuels,1159601.0
2008-04,hydraulic turbine,273481.0
2008-04,other types of electricity generation,0.0
2008-04,wind power turbine,41126.0
2008-05,combustible fuels,1098985.0
2008-05,hydraulic turbine,308178.0
2008-05,other types of electricity generation,0.0
2008-05,wind power turbine,43085.0
2008-06,combustible fuels,983455.0
2008-06,hydraulic turbine,556802.0
2008-06,other types of electricity generation,0.0
2008-06,wind power turbine,29684.0
2008-07,combustible fuels,1128420.0
2008-07,hydraulic turbine,482403.0
2008-07,other types of electricity generation,0.0
2008-07,wind power turbine,28777.0
2008-08,combustible fuels,1257248.0
2008-08,hydraulic turbine,304641.0
2008-08,other types of electricity generation,0.0
2008-08,wind power turbine,39196.0
2008-09,combustible fuels,1076159.0
2008-09,hydraulic turbine,280954.0
2008-09,other types of electricity generation,0.0
2008-09,wind power turbine,29841.0
2008-10,combustible fuels,1129048.0
2008-10,hydraulic turbine,300907.0
2008-10,other types of electricity generation,0.0
2008-10,wind power turbine,62003.0
2008-11,combustible fuels,1190936.0
2008-11,hydraulic turbine,280752.0
2008-11,other types of electricity generation,0.0
2008-11,wind power turbine,62367.0
2008-12,combustible fuels,1435062.0
2008-12,hydraulic turbine,266326.0
2008-12,other types of electricity generation,0.0
2008-12,wind power turbine,62167.0
2009-01,combustible fuels,1678260.0
2009-01,hydraulic turbine,340382.0
2009-01,other types of electricity generation,0.0
2009-01,wind power turbine,81061.0
2009-02,combustible fuels,1427191.0
2009-02,hydraulic turbine,314689.0
2009-02,other types of electricity generation,0.0
2009-02,wind power turbine,43440.0
2009-03,combustible fuels,1560936.0
2009-03,hydraulic turbine,240302.0
2009-03,other types of electricity generation,0.0
2009-03,wind power turbine,53662.0
2009-04,combustible fuels,1297065.0
2009-04,hydraulic turbine,263414.0
2009-04,other types of electricity generation,0.0
2009-04,wind power turbine,43353.0
2009-05,combustible fuels,1355078.0
2009-05,hydraulic turbine,242671.0
2009-05,other types of electricity generation,0.0
2009-05,wind power turbine,44247.0
2009-06,combustible fuels,1369692.0
2009-06,hydraulic turbine,217628.0
2009-06,other types of electricity generation,0.0
2009-06,wind power turbine,31093.0
2009-07,combustible fuels,1440663.0
