date,generation_type,megawatt_hours
2008-01,combustible fuels,1974.0
2008-01,hydraulic turbine,36825.0
2008-01,wind power turbine,0.0
2008-02,combustible fuels,2339.0
2008-02,hydraulic turbine,32992.0
2008-02,wind power turbine,0.0
2008-03,combustible fuels,2015.0
2008-03,hydraulic turbine,30138.0
2008-03,wind power turbine,25.0
2008-04,combustible fuels,1870.0
2008-04,hydraulic turbine,26489.0
2008-04,wind power turbine,0.0
2008-05,combustible fuels,1887.0
2008-05,hydraulic turbine,24236.0
2008-05,wind power turbine,175.0
2008-06,combustible fuels,1637.0
2008-06,hydraulic turbine,24392.0
2008-06,wind power turbine,40.0
2008-07,combustible fuels,1592.0
2008-07,hydraulic turbine,24138.0
2008-07,wind power turbine,71.0
2008-08,combustible fuels,1583.0
2008-08,hydraulic turbine,25450.0
2008-08,wind power turbine,19.0
2008-09,combustible fuels,1705.0
2008-09,hydraulic turbine,22177.0
2008-09,wind power turbine,0.0
2008-10,combustible fuels,2143.0
2008-10,hydraulic turbine,27373.0
2008-10,wind power turbine,0.0
2008-11,combustible fuels,1979.0
2008-11,hydraulic turbine,32926.0
2008-11,wind power turbine,0.0
2008-12,combustible fuels,3008.0
2008-12,hydraulic turbine,38736.0
2008-12,wind power turbine,0.0
2009-01,combustible fuels,2833.0
2009-01,hydraulic turbine,38649.0
2009-01,wind power turbine,0.0
2009-02,combustible fuels,1897.0
2009-02,hydraulic turbine,38044.0
2009-02,wind power turbine,0.0
2009-03,combustible fuels,1969.0
2009-03,hydraulic turbine,33349.0
2009-03,wind power turbine,33.0
2009-04,combustible fuels,1457.0
2009-04,hydraulic turbine,29928.0
2009-04,wind power turbine,29.0
2009-05,combustible fuels,1546.0
2009-05,hydraulic turbine,29044.0
2009-05,wind power turbine,52.0
2009-06,combustible fuels,1450.0
2009-06,hydraulic turbine,25338.0
2009-06,wind power turbine,50.0
2009-07,combustible fuels,1629.0
2009-07,hydraulic turbine,26023.0
2009-07,wind power turbine,46.0
2009-08,combustible fuels,1744.0
2009-08,hydraulic turbine,25855.0
2009-08,wind power turbine,21.0
2009-09,combustible fuels,1885.0
2009-09,hydraulic turbine,27361.0
2009-09,wind power turbine,8.0
2009-10,combustible fuels,1865.0
2009-10,hydraulic turbine,30337.0
2009-10,wind power turbine,0.0
2009-11,combustible fuels,1870.0
2009-11,hydraulic turbine,36105.0
2009-11,wind power turbine,0.0
2009-12,combustible fuels,2459.0
2009-12,hydraulic turbine,41535.0
2009-12,wind power turbine,0.0
2010-01,combustible fuels,2197.0
2010-01,hydraulic turbine,36832.0
2010-01,wind power turbine,0.0
2010-02,combustible fuels,2007.0
2010-02,hydraulic turbine,36700.0
2010-02,wind power turbine,0.0
2010-03,combustible fuels,1652.0
2010-03,hydraulic turbine,33121.0
2010-03,wind power turbine,0.0
2010-04,combustible fuels,1730.0
2010-04,hydraulic turbine,29911.0
2010-04,wind power turbine,0.0
2010-05,combustible fuels,1446.0
2010-05,hydraulic turbine,29477.0
2010-05,wind power turbine,4.0
2010-06,combustible fuels,1409.0
2010-06,hydraulic turbine,25557.0
2010-06,wind power turbine,8.0
2010-07,combustible fuels,291.0
2010-07,hydraulic turbine,26375.0
2010-07,wind power turbine,15.0
2010-08,combustible fuels,2156.0
2010-08,hydraulic turbine,27588.0
2010-08,wind power turbine,1.0
2010-09,combustible fuels,1569.0
2010-09,hydraulic turbine,27626.0
2010-09,wind power turbine,37.0
2010-10,combustible fuels,1765.0
2010-10,hydraulic turbine,28970.0
2010-10,wind power turbine,0.0
2010-11,combustible fuels,2497.0
2010-11,hydraulic turbine,37541.0
2010-11,wind power turbine,0.0
2010-12,combustible fuels,4902.0
2010-12,hydraulic turbine,40736.0
2010-12,wind power turbine,21.0
2011-01,combustible fuels,4526.0
2011-01,hydraulic turbine,37614.0
2011-01,wind power turbine,0.0
2011-02,combustible fuels,3309.0
2011-02,hydraulic turbine,35379.0
2011-02,wind power turbine,0.0
2011-03,combustible fuels,5096.0
2011-03,hydraulic turbine,35864.0
2011-03,wind power turbine,0.0
2011-04,combustible fuels,3279.0
2011-04,hydraulic turbine,28692.0
2011-04,wind power turbine,0.0
2011-05,combustible fuels,2402.0
2011-05,hydraulic turbine,29711.0
2011-05,wind power turbine,0.0
2011-06,combustible fuels,2504.0
2011-06,hydraulic turbine,26291.0
2011-06,wind power turbine,0.0
2011-07,combustible fuels,1928.0
2011-07,hydraulic turbine,27915.0
2011-07,wind power turbine,40.0
2011-08,combustible fuels,1931.0
2011-08,hydraulic turbine,27793.0
2011-08,wind power turbine,94.0
2011-09,combustible fuels,1834.0
2011-09,hydraulic turbine,29293.0
2011-09,wind power turbine,150.0
2011-10,combustible fuels,6548.0
2011-10,hydraulic turbine,29829.0
2011-10,wind power turbine,87.0
2011-11,combustible fuels,2714.0
2011-11,hydraulic turbine,39408.0
2011-11,wind power turbine,0.0
2011-12,combustible fuels,2155.0
2011-12,hydraulic turbine,38225.0
2011-12,wind power turbine,0.0
2012-01,combustible fuels,2711.0
2012-01,hydraulic turbine,44129.0
2012-01,wind power turbine,10.0
2012-02,combustible fuels,1972.0
2012-02,hydraulic turbine,36826.0
2012-02,wind power turbine,5.0
2012-03,combustible fuels,1984.0
2012-03,hydraulic turbine,35220.0
2012-03,wind power turbine,0.0
2012-04,combustible fuels,1760.0
2012-04,hydraulic turbine,33077.0
2012-04,wind power turbine,0.0
2012-05,combustible fuels,1524.0
2012-05,hydraulic turbine,32921.0
2012-05,wind power turbine,120.0
2012-06,combustible fuels,1522.0
2012-06,hydraulic turbine,27573.0
2012-06,wind power turbine,25.0
2012-07,combustible fuels,1397.0
2012-07,hydraulic turbine,28462.0
2012-07,wind power turbine,54.0
2012-08,combustible fuels,1494.0
2012-08,hydraulic turbine,29444.0
2012-08,wind power turbine,55.0
2012-09,combustible fuels,1528.0
2012-09,hydraulic turbine,30586.0
2012-09,wind power turbine,52.0
2012-10,combustible fuels,1951.0
2012-10,hydraulic turbine,35214.0
2012-10,wind power turbine,125.0
2012-11,combustible fuels,2374.0
2012-11,hydraulic turbine,43932.0
2012-11,wind power turbine,0.0
2012-12,combustible fuels,3517.0
2012-12,hydraulic turbine,51100.0
2012-12,wind power turbine,0.0
2013-01,combustible fuels,2459.0
2013-01,hydraulic turbine,41342.0
2013-01,wind power turbine,0.0
2013-02,combustible fuels,1966.0
2013-02,hydraulic turbine,37129.0
2013-02,wind power turbine,0.0
2013-03,combustible fuels,1959.0
2013-03,hydraulic turbine,36663.0
2013-03,wind power turbine,0.0
2013-04,combustible fuels,1972.0
2013-04,hydraulic turbine,39059.0
2013-04,wind power turbine,0.0
2013-05,combustible fuels,1634.0
2013-05,hydraulic turbine,32981.0
2013-05,wind power turbine,79.0
2013-06,combustible fuels,1458.0
2013-06,hydraulic turbine,25510.0
2013-06,wind power turbine,40.0
2013-07,combustible fuels,2240.0
2013-07,hydraulic turbine,31456.0
2013-07,wind power turbine,15.0
2013-08,combustible fuels,1459.0
2013-08,hydraulic turbine,27847.0
2013-08,wind power turbine,9.0
2013-09,combustible fuels,1815.0
2013-09,hydraulic turbine,29997.0
2013-09,wind power turbine,81.0
2013-10,combustible fuels,1924.0
2013-10,hydraulic turbine,33515.0
2013-10,wind power turbine,6.0
2013-11,combustible fuels,1952.0
2013-11,hydraulic turbine,38860.0
2013-11,other types of electricity generation,0.0
2013-11,wind power turbine,17.0
2013-12,combustible fuels,2725.0
2013-12,hydraulic turbine,48510.0
2013-12,other types of electricity generation,0.0
2013-12,wind power turbine,31.0
2014-01,combustible fuels,2190.0
2014-01,hydraulic turbine,33756.0
2014-01,other types of electricity generation,0.0
2014-01,wind power turbine,46.0
2014-02,combustible fuels,2171.0
2014-02,hydraulic turbine,39363.0
2014-02,other types of electricity generation,0.0
2014-02,wind power turbine,35.0
2014-03,combustible fuels,2005.0
2014-03,hydraulic turbine,38268.0
2014-03,other types of electricity generation,0.0
2014-03,wind power turbine,78.0
2014-04,combustible fuels,1848.0
2014-04,hydraulic turbine,33560.0
2014-04,other types of electricity generation,0.0
2014-04,wind power turbine,17.0
2014-05,combustible fuels,1456.0
2014-05,hydraulic turbine,27573.0
2014-05,other types of electricity generation,0.0
2014-05,wind power turbine,0.0
2014-06,combustible fuels,1576.0
2014-06,hydraulic turbine,27408.0
2014-06,other types of electricity generation,0.0
2014-06,wind power turbine,0.0
2014-07,combustible fuels,1555.0
2014-07,hydraulic turbine,30065.0
2014-07,other types of electricity generation,0.0
2014-07,wind power turbine,0.0
2014-08,combustible fuels,1395.0
2014-08,hydraulic turbine,25286.0
2014-08,other types of electricity generation,0.0
2014-08,wind power turbine,115.0
2014-09,combustible fuels,1696.0
2014-09,hydraulic turbine,31427.0
2014-09,other types of electricity generation,0.0
2014-09,wind power turbine,77.0
2014-10,combustible fuels,1882.0
2014-10,hydraulic turbine,34928.0
2014-10,other types of electricity generation,0.0
2014-10,wind power turbine,56.0
2014-11,combustible fuels,2377.0
2014-11,hydraulic turbine,36226.0
2014-11,other types of electricity generation,0.0
2014-11,wind power turbine,7.0
2014-12,combustible fuels,2450.0
2014-12,hydraulic turbine,47077.0
2014-12,other types of electricity generation,0.0
2014-12,wind power turbine,0.0
2015-01,combustible fuels,2680.0
2015-01,hydraulic turbine,43109.0
2015-01,other types of electricity generation,0.0
2015-01,wind power turbine,0.0
2015-02,combustible fuels,2507.0
2015-02,hydraulic turbine,40743.0
2015-02,other types of electricity generation,0.0
2015-02,wind power turbine,36.0
2015-03,combustible fuels,1904.0
2015-03,hydraulic turbine,39603.0
2015-03,other types of electricity generation,0.0
2015-03,wind power turbine,63.0
2015-04,combustible fuels,1735.0
2015-04,hydraulic turbine,34335.0
2015-04,other types of electricity generation,0.0
2015-04,wind power turbine,127.0
2015-05,combustible fuels,1739.0
2015-05,hydraulic turbine,28485.0
2015-05,other types of electricity generation,0.0
2015-05,wind power turbine,33.0
2015-06,combustible fuels,2095.0
2015-06,hydraulic turbine,29994.0
2015-06,other types of electricity generation,0.0
2015-06,wind power turbine,97.0
2015-07,combustible fuels,1507.0
2015-07,hydraulic turbine,28512.0
2015-07,other types of electricity generation,0.0
2015-07,wind power turbine,80.0
2015-08,combustible fuels,1777.0
2015-08,hydraulic turbine,29158.0
2015-08,other types of electricity generation,0.0
2015-08,wind power turbine,95.0
2015-09,combustible fuels,2148.0
2015-09,hydraulic turbine,30410.0
2015-09,other types of electricity generation,0.0
2015-09,wind power turbine,58.0
2015-10,combustible fuels,2236.0
2015-10,hydraulic turbine,34931.0
2015-10,other types of electricity generation,0.0
2015-10,wind power turbine,58.0
2015-11,combustible fuels,2330.0
2015-11,hydraulic turbine,40116.0
2015-11,other types of electricity generation,0.0
2015-11,wind power turbine,5.0
2015-12,combustible fuels,2869.0
2015-12,hydraulic turbine,42488.0
2015-12,other types of electricity generation,0.0
2015-12,wind power turbine,0.0
2016-01,combustible fuels,2268.0
2016-01,hydraulic turbine,41076.0
2016-01,other types of electricity generation,0.0
2016-01,solar,0.0
2016-01,wind power turbine,2.0
2016-02,combustible fuels,2072.0
2016-02,hydraulic turbine,39485.0
2016-02,other types of electricity generation,0.0
2016-02,solar,0.0
2016-02,wind power turbine,0.0
2016-03,combustible fuels,1912.0
2016-03,hydraulic turbine,37971.0
2016-03,other types of electricity generation,0.0
2016-03,solar,0.0
2016-03,wind power turbine,54.0
2016-04,combustible fuels,1623.0
2016-04,hydraulic turbine,29685.0
2016-04,other types of electricity generation,0.0
2016-04,solar,0.0
2016-04,wind power turbine,68.0
2016-05,combustible fuels,1699.0
2016-05,hydraulic turbine,29707.0
2016-05,other types of electricity generation,0.0
2016-05,solar,0.0
2016-05,wind power turbine,122.0
